Gen#	Conn.	MW
1	1	0.488575
2	4	0.488575
3	6	0.488575
4	8	0.488575
5	10	3.115e-05
6	12	0.0109036
7	15	0.488575
8	18	0.488575
9	19	0.488575
10	24	0.488575
11	25	-6.68471e-05
12	26	2.31799e-05
13	27	0.488575
14	31	0.246471
15	32	0.488575
16	34	0.488575
17	36	0.488575
18	40	0.488575
19	42	0.488575
20	46	0.0992634
21	49	-7.68452e-05
22	54	0.00881225
23	55	0.488575
24	56	0.488575
25	59	8.69077e-05
26	61	4.6557e-05
27	62	0.488575
28	65	6.84286e-05
29	66	6.74672e-05
30	69	4.8339e-05
31	70	0.488575
32	72	0.488575
33	73	0.488575
34	74	0.488575
35	76	0.488575
36	77	0.488575
37	80	2.22438e-05
38	85	0.488575
39	87	0.0469042
40	89	5.51307e-05
41	90	0.488575
42	91	0.488575
43	92	0.488575
44	99	0.488575
45	100	6.83334e-05
46	103	0.024467
47	104	0.488575
48	105	0.488575
49	107	0.488575
50	110	0.488575
51	111	0.0165242
52	112	0.488575
53	113	0.488575
54	116	0.488575
T.line#	From	To	From MW	To MW
2	1	3	-0.0884677	0.0884677
3	2	12	0.126202	-0.126202
4	3	5	0.178292	-0.178292
5	3	12	-0.0237049	0.0237049
6	4	5	-0.0031964	0.0031964
7	4	11	-0.33297	0.33297
8	5	6	-0.162121	0.162121
9	8	5	-0.493744	0.493744
10	5	11	-0.340995	0.340995
11	6	7	-0.278246	0.278246
12	7	12	-0.198934	0.198934
13	8	9	0.147723	-0.147723
14	8	30	-0.290247	0.290247
15	9	10	0.0738768	-0.0738768
16	11	12	-0.0463129	0.0463129
17	11	13	-0.112166	0.112166
18	12	14	0.058625	-0.058625
19	12	16	0.0518296	-0.0518296
20	12	117	-0.126201	0.126201
21	13	15	0.117061	-0.117061
22	14	15	0.0878492	-0.0878492
23	15	17	0.399653	-0.399653
24	15	19	0.210453	-0.210453
25	15	33	-0.252649	0.252649
26	16	17	0.191038	-0.191038
27	17	18	-0.0762605	0.0762605
28	30	17	0.264176	-0.264176
29	17	31	0.112118	-0.112118
30	17	113	0.670107	-0.670107
31	18	19	-0.112801	0.112801
32	19	20	0.0729048	-0.0729048
33	19	34	-0.235808	0.235808
34	20	21	0.141875	-0.141875
35	21	22	0.170817	-0.170817
36	22	23	0.15973	-0.15973
37	23	24	0.405424	-0.405424
38	23	25	-0.195401	0.195401
39	23	32	-0.165507	0.165507
40	24	70	-0.300942	0.300942
41	24	72	0.069495	-0.069495
42	26	25	0.31037	-0.31037
43	25	27	-0.033054	0.033054
44	26	30	-0.421433	0.421433
45	27	28	-0.125196	0.125196
46	27	32	0.0277575	-0.0277575
47	27	115	-0.0263054	0.0263054
48	28	29	-0.0662437	0.0662437
49	29	31	0.062722	-0.062722
50	30	38	-1.12383	1.12383
51	31	32	0.17332	-0.17332
52	32	113	-0.0705598	0.0705598
53	32	114	-0.0515777	0.0515777
54	33	37	-0.133707	0.133707
55	34	36	0.0881291	-0.0881291
56	34	37	-0.00397685	0.00397685
57	34	43	-0.440872	0.440872
58	35	36	0.238674	-0.238674
59	35	37	-0.0198425	0.0198425
60	38	37	0.0525011	-0.0525011
61	37	39	-0.194092	0.194092
62	37	40	-0.133291	0.133291
63	38	65	-1.28751	1.28751
64	39	40	-0.0353298	0.0353298
65	40	41	-0.435276	0.435276
66	40	42	-0.244464	0.244464
67	41	42	-0.176576	0.176576
68	42	49	-0.38117	0.38117
69	42	49	-0.38117	0.38117
70	43	44	-0.372142	0.372142
71	44	45	-0.323549	0.323549
72	45	46	0.0374511	-0.0374511
73	45	49	0.0203874	-0.0203874
74	46	47	0.0565457	-0.0565457
75	46	48	-0.024185	0.024185
76	47	49	-0.135934	0.135934
