Gen#	Conn.	MW
1	1	0.497254
2	4	0.497254
3	6	0.497254
4	8	0.497254
5	10	2.34555e-05
6	12	0.0153166
7	15	0.497254
8	18	0.497254
9	19	0.497254
10	24	0.497254
11	25	2.97116e-05
12	26	3.1078e-05
13	27	0.497254
14	31	0.285127
15	32	0.497254
16	34	0.497254
17	36	0.497254
18	40	0.497254
19	42	0.497254
20	46	-0.0137027
21	49	-2.82329e-05
22	54	0.637165
23	55	0.497254
24	56	0.497254
25	59	4.44957e-05
26	61	7.39019e-05
27	62	0.497254
28	65	4.37848e-05
29	66	4.32257e-05
30	69	1.01163e-05
31	70	0.497254
32	72	0.497254
33	73	0.497254
34	74	0.497254
35	76	0.497254
36	77	0.497254
37	80	1.89483e-05
38	85	0.497254
39	87	0.0590444
40	89	7.55845e-05
41	90	0.497254
42	91	0.497254
43	92	0.497254
44	99	0.497254
45	100	3.07666e-05
46	103	0.69999
47	104	0.497254
48	105	0.497254
49	107	0.497254
50	110	0.497254
51	111	0.679963
52	112	0.497254
53	113	0.497254
54	116	0.497254
T.line#	From	To	From MW	To MW
1	1	2	-0.0615686	0.0615686
2	1	3	-0.0569934	0.0569934
3	2	12	0.0399326	-0.0399326
4	3	5	0.209329	-0.209329
5	3	12	-0.00764487	0.00764487
6	4	5	0.0098276	-0.0098276
7	4	11	-0.338418	0.338418
8	5	6	-0.192198	0.192198
9	8	5	-0.584714	0.584714
10	5	11	-0.337539	0.337539
11	6	7	-0.300795	0.300795
12	7	12	-0.209303	0.209303
13	8	9	0.131367	-0.131367
14	8	30	-0.175251	0.175251
15	9	10	0.0656954	-0.0656954
16	11	12	-0.0202682	0.0202682
17	11	13	-0.11986	0.11986
18	12	14	0.0508599	-0.0508599
19	12	16	0.0453402	-0.0453402
20	12	117	-0.134327	0.134327
21	13	15	0.121635	-0.121635
22	14	15	0.0923472	-0.0923472
23	15	17	0.400823	-0.400823
24	15	19	0.210064	-0.210064
25	15	33	-0.224036	0.224036
26	16	17	0.196826	-0.196826
27	17	18	-0.0776902	0.0776902
28	30	17	0.210717	-0.210717
29	17	31	0.10532	-0.10532
30	17	113	0.660865	-0.660865
31	18	19	-0.106303	0.106303
32	19	20	0.0599116	-0.0599116
33	19	34	-0.200445	0.200445
34	20	21	0.14139	-0.14139
35	21	22	0.182867	-0.182867
36	22	23	0.184344	-0.184344
37	23	24	0.522873	-0.522873
38	23	25	-0.227732	0.227732
39	23	32	-0.205003	0.205003
40	24	70	-0.237394	0.237394
41	24	72	0.131648	-0.131648
42	26	25	0.308561	-0.308561
43	25	27	-0.0505633	0.0505633
