Gen#	Conn.	MW
1	1	0.497255
2	4	0.497255
3	6	0.497255
4	8	0.497255
5	10	2.34458e-05
6	12	0.0154649
7	15	0.497255
8	18	0.497255
9	19	0.497255
10	24	0.497255
11	25	2.97477e-05
12	26	3.10638e-05
13	27	0.497255
14	31	0.285161
15	32	0.497255
16	34	0.497255
17	36	0.497255
18	40	0.497255
19	42	0.497255
20	46	0.17445
21	49	-2.82371e-05
22	54	0.634811
23	55	0.497255
24	56	0.497255
25	59	4.44766e-05
26	61	7.38645e-05
27	62	0.497255
28	65	4.37708e-05
29	66	4.32119e-05
30	69	1.01206e-05
31	70	0.497255
32	72	0.497255
33	73	0.497255
34	74	0.497255
35	76	0.497255
36	77	0.497255
37	80	1.89432e-05
38	85	0.497255
39	87	0.0590529
40	89	7.55918e-05
41	90	0.497255
42	91	0.497255
43	92	0.497255
44	99	0.497255
45	100	3.0783e-05
46	103	0.69999
47	104	0.497255
48	105	0.497255
49	107	0.497255
50	110	0.497255
51	111	0.679963
52	112	0.497255
53	113	0.497255
54	116	0.497255
T.line#	From	To	From MW	To MW
1	1	2	-0.0609291	0.0609291
2	1	3	-0.056287	0.056287
3	2	12	0.041608	-0.041608
4	3	5	0.210913	-0.210913
5	3	12	-0.00715379	0.00715379
6	4	5	0.0114196	-0.0114196
7	4	11	-0.338617	0.338617
8	5	6	-0.196221	0.196221
9	8	5	-0.599176	0.599176
10	5	11	-0.34305	0.34305
11	6	7	-0.30342	0.30342
12	7	12	-0.210878	0.210878
13	8	9	0.129963	-0.129963
14	8	30	-0.157981	0.157981
15	9	10	0.0649931	-0.0649931
16	11	12	-0.0250524	0.0250524
17	11	13	-0.119041	0.119041
18	12	14	0.0515311	-0.0515311
19	12	16	0.0441829	-0.0441829
20	12	117	-0.135028	0.135028
21	13	15	0.123504	-0.123504
22	14	15	0.0940758	-0.0940758
23	15	17	0.391769	-0.391769
24	15	19	0.212468	-0.212468
25	15	33	-0.211294	0.211294
26	16	17	0.196728	-0.196728
27	17	18	-0.0743742	0.0743742
28	30	17	0.189506	-0.189506
29	17	31	0.0866813	-0.0866813
30	17	113	0.648314	-0.648314
31	18	19	-0.101561	0.101561
32	19	20	0.0549804	-0.0549804
33	19	34	-0.186225	0.186225
34	20	21	0.137533	-0.137533
35	21	22	0.180086	-0.180086
36	22	23	0.18264	-0.18264
37	23	24	0.549183	-0.549183
38	23	25	-0.23822	0.23822
39	23	32	-0.22073	0.22073
40	24	70	-0.223186	0.223186
41	24	72	0.145191	-0.145191
42	26	25	0.287793	-0.287793
43	25	27	-0.0803853	0.0803853
44	26	30	-0.385272	0.385272
45	27	28	-0.113185	0.113185
47	27	115	-0.00686589	0.00686589
48	28	29	-0.0406322	0.0406322
49	29	31	0.10192	-0.10192
50	30	38	-0.86269	0.86269
51	31	32	0.171028	-0.171028
52	32	113	-0.0536098	0.0536098
53	32	114	-0.0982407	0.0982407
54	33	37	-0.0787409	0.0787409
55	34	36	0.0865376	-0.0865376
56	34	37	0.0212139	-0.0212139
57	34	43	-0.396117	0.396117
58	35	36	0.230641	-0.230641
59	35	37	0.00191677	-0.00191677
60	38	37	-0.0161545	0.0161545
61	37	39	-0.165105	0.165105
62	37	40	-0.101547	0.101547
63	38	65	-0.943979	0.943979
64	39	40	0.0074534	-0.0074534
65	40	41	-0.392871	0.392871
66	40	42	-0.193358	0.193358
67	41	42	-0.120311	0.120311
68	42	49	-0.3179	0.3179
69	42	49	-0.3179	0.3179
70	43	44	-0.313558	0.313558
71	44	45	-0.250994	0.250994
72	45	46	0.0889177	-0.0889177
73	45	49	0.0601756	-0.0601756
74	46	47	0.057312	-0.057312
75	46	48	-0.0252339	0.0252339
76	47	49	-0.130153	0.130153
77	47	69	0.397554	-0.397554
78	48	49	0.0773326	-0.0773326
79	49	50	-0.267848	0.267848
80	49	51	-0.327662	0.327662
81	49	54	-0.216974	0.216974
82	49	54	-0.215483	0.215483
83	49	66	0.224434	-0.224434
84	49	66	0.224434	-0.224434
85	49	69	0.365993	-0.365993
86	50	57	-0.195281	0.195281
87	51	52	-0.167199	0.167199
88	51	58	-0.120374	0.120374
89	52	53	-0.0846315	0.0846315
90	53	54	0.047935	-0.047935
