Gen#	Conn.	MW
1	1	161.865
2	2	97.1349
T.line#	From	To	From MW	To MW
1	1	2	-100	100
2	1	5	-61.8651	61.8651
3	2	3	-71.6125	71.6125
4	2	4	-58.4958	58.4958
5	2	5	-45.3266	45.3266
6	3	4	22.5875	-22.5875
7	4	5	57.7678	-57.7678
8	4	7	-29.1501	29.1501
9	4	9	-16.726	16.726
10	5	6	-41.8238	41.8238
11	6	11	-6.14833	6.14833
12	6	12	-7.52217	7.52217
13	6	13	-16.9533	16.9533
14	7	8	0	0
15	7	9	-29.1501	29.1501
16	9	10	-6.35167	6.35167
17	9	14	-10.0245	10.0245
18	10	11	2.64833	-2.64833
19	12	13	-1.42217	1.42217
20	13	14	-4.87549	4.87549
