Gen#	Conn.	MW
1	7	12.8257
2	20	12.8253
3	25	12.8251
4	81	12.8258
5	52	12.8257
6	105	379.517
7	114	156.849
8	115	293.479
9	120	68.8089
10	121	118.394
11	139	1935.85
12	135	242.873
13	144	12.8258
14	173	12.8272
15	178	284.37
16	184	704.544
17	181	84.9996
18	182	219.596
19	187	104.227
20	167	376.481
21	191	218.583
22	195	12.8259
23	161	207.451
24	163	12.8258
25	203	230.728
26	204	84.9996
27	206	202.39
28	171	1214.03
29	205	1214.03
30	212	480.754
31	215	1977.21
32	226	429.121
33	235	275.26
34	241	101.191
35	243	455.443
36	246	252.994
37	249	306.637
38	252	349.149
39	254	303.6
40	256	607.323
41	244	252.994
42	258	556.693
43	257	582.443
44	237	172.03
45	262	84.9995
46	4	472.653
47	8	630.614
48	13	1224.09
49	22	236.801
50	24	376.48
51	32	333.966
52	39	187.21
53	41	414.948
54	59	506.066
55	68	37.4398
56	75	13.2019
57	79	45.535
58	82	166.969
59	86	404.825
60	89	404.825
61	98	117.382
62	160	1306.5
63	177	708.594
64	201	559.73
65	270	12.8258
66	288	12.8257
67	290	12.8257
68	291	50.5945
69	292	8.09499
T.line#	From	To	From MW	To MW
1	1	2	-17.9058	17.9058
2	2	3	-400.559	400.559
3	4	2	-472.653	472.653
4	1	5	37.3041	-37.3041
5	5	6	-148.839	148.839
6	5	7	-388.472	388.472
7	8	5	-630.614	630.614
8	1	9	-910.265	910.265
9	1	10	-184.911	184.911
10	1	11	-149.445	149.445
11	1	12	21.1331	-21.1331
12	13	1	-1224.09	1224.09
13	9	14	-910.266	910.266
14	10	3	-72.2192	72.2192
15	3	15	-119.778	119.778
16	10	6	28.8385	-28.8385
17	10	16	-176.13	176.13
18	10	17	34.6001	-34.6001
19	7	18	18.2694	-18.2694
20	7	19	-361.567	361.567
21	15	18	-23.7779	23.7779
22	20	18	12.6104	-12.6104
23	16	20	-122.565	122.565
24	18	21	-146.698	146.698
25	22	18	-236.8	236.8
26	16	23	-430.045	430.045
27	24	16	-376.48	376.48
28	21	25	-88.6979	88.6979
29	19	26	-201.567	201.567
30	14	26	-272.585	272.585
31	26	27	-227.033	227.033
32	26	28	-58.7209	58.7209
33	26	29	-31.4239	31.4239
34	26	30	-30.2738	30.2738
35	14	31	-637.681	637.681
36	32	27	-333.967	333.967
37	11	23	99.5198	-99.5198
38	11	33	-248.964	248.964
39	23	25	-497.133	497.133
40	25	34	18.6738	-18.6738
41	25	35	-22.3291	22.3291
42	23	36	243.609	-243.609
43	34	37	99.6743	-99.6743
44	36	37	-55.5385	55.5385
45	37	38	-122.073	122.073
46	39	37	-187.209	187.209
47	36	40	-115.8	115.8
48	41	36	-414.948	414.948
49	38	42	-77.0723	77.0723
50	42	35	-46.6714	46.6714
51	42	43	-2.40029	2.40029
52	44	45	159.197	-159.197
53	44	46	-104.39	104.39
54	44	47	-45.6156	45.6156
55	44	48	45.8091	-45.8091
56	45	31	159.197	-159.197
57	49	50	-108.271	108.271
58	50	51	-46.515	46.515
59	50	52	-99.5276	99.5276
60	50	53	37.7716	-37.7716
61	49	54	108.271	-108.271
62	28	46	-35.3573	35.3573
63	28	47	-27.0759	27.0759
64	28	48	43.3293	-43.3293
65	28	55	-38.2306	38.2306
66	28	29	26.6522	-26.6522
67	28	30	28.1377	-28.1377
68	28	56	28.8234	-28.8234
69	46	48	87.066	-87.066
70	46	57	-71.814	71.814
71	58	31	-506.066	506.066
72	59	58	-506.066	506.066
73	47	60	-26.6917	26.6917
74	48	31	321.812	-321.812
75	48	55	-24.3809	24.3809
76	48	61	-35.2271	35.2271
77	31	62	-662.738	662.738
78	57	63	-8.05925	8.05925
79	57	60	7.88751	-7.88751
80	57	64	-32.6424	32.6424
81	65	63	-258.49	258.49
82	63	66	-132.339	132.339
83	63	67	23.3495	-23.3495
84	68	63	-37.4398	37.4398
85	65	62	235.26	-235.26
86	65	69	323.937	-323.937
87	65	70	-300.706	300.706
88	62	71	-427.478	427.478
89	66	72	-45.5515	45.5515
90	66	73	-28.7876	28.7876
91	60	74	22.1958	-22.1958
92	55	61	16.1862	-16.1862
93	75	55	-13.202	13.202
94	61	76	-14.041	14.041
95	76	77	46.9589	-46.9589
96	64	67	36.3575	-36.3575
97	67	77	69.7069	-69.7069
98	77	78	93.1305	-93.1305
99	79	77	-45.5351	45.5351
100	78	80	45.229	-45.229
101	78	81	-21.0682	21.0682
102	82	78	-166.969	166.969
103	80	83	59.2289	-59.2289
104	83	84	277.229	-277.229
105	69	85	323.937	-323.937
106	85	84	-99.4038	99.4038
107	86	84	-404.825	404.825
108	85	87	-181.406	181.406
109	85	88	199.921	-199.921
110	89	85	-404.825	404.825
111	81	87	181.406	-181.406
112	81	90	-145.3	145.3
113	91	92	22.5308	-22.5308
114	93	91	40.9999	-40.9999
115	91	94	18.469	-18.469
116	95	96	84.0998	-84.0998
117	95	97	-28.0999	28.0999
118	96	51	20.1956	-20.1956
119	96	72	62.5217	-62.5217
120	98	96	-117.382	117.382
121	51	53	44.6804	-44.6804
122	51	99	-13.9999	13.9999
123	72	70	272.67	-272.67
124	72	52	-37.6916	37.6916
125	72	92	5.99109	-5.99109
126	70	54	22.4639	-22.4639
127	70	100	-50.4999	50.4999
128	52	53	57.9548	-57.9548
129	53	101	267.989	-267.989
130	53	102	-12.8823	12.8823
131	53	103	-11.0999	11.0999
132	53	104	-29.5999	29.5999
133	101	92	-74.5283	74.5283
134	101	105	342.517	-342.517
135	92	94	1.99332	-1.99332
136	102	94	15.1176	-15.1176
137	71	54	-130.735	130.735
138	71	106	-156.52	156.52
139	71	107	-140.224	140.224
140	108	109	105.916	-105.916
141	108	110	-105.916	105.916
142	109	33	162.823	-162.823
143	109	111	-42.0073	42.0073
144	109	112	-14.9001	14.9001
145	33	113	-86.1405	86.1405
146	29	114	39.4282	-39.4282
147	30	115	63.8637	-63.8637
148	114	113	4.40187	-4.40187
149	114	116	-104.423	104.423
150	115	117	-73.7641	73.7641
151	115	118	-140.051	140.051
152	113	116	-21.4384	21.4384
153	116	119	-47.2989	47.2989
154	116	111	-43.93	43.93
155	116	117	5.26756	-5.26756
156	120	119	6.91612	-6.91612
157	120	111	-9.0249	9.0249
158	110	74	44.4377	-44.4377
159	110	121	28.1387	-28.1387
160	110	122	-37.4181	37.4181
161	110	123	-57.5741	57.5741
162	119	111	-40.3827	40.3827
163	111	124	-57.5447	57.5447
164	117	118	-36.4966	36.4966
165	124	121	-46.5446	46.5446
166	124	125	-2.40003	2.40003
167	118	74	-71.2334	71.2334
168	118	123	-55.714	55.714
169	121	126	-24.7	24.7
170	122	123	17.5446	-17.5446
171	122	73	2.58767	-2.58767
172	122	127	-26.8504	26.8504
173	123	128	-32.7435	32.7435
174	128	127	-13.1436	13.1436
175	127	129	-21.7941	21.7941
176	130	131	-4.56999	4.56999
177	131	132	-4.57016	4.57016
178	133	134	-2.80292	2.80292
179	133	135	2.80288	-2.80288
180	136	137	407.673	-407.673
181	138	136	407.673	-407.673
182	137	139	489.633	-489.633
183	137	130	-51.8215	51.8215
184	137	140	-16.0389	16.0389
185	139	134	-858.159	858.159
186	139	130	-487.748	487.748
187	139	141	-100.31	100.31
188	134	142	-100	100
189	140	134	-16.0388	16.0388
190	132	143	-19.9432	19.9432
191	132	144	-6.54661	6.54661
192	132	145	251.019	-251.019
193	143	135	41.9834	-41.9834
194	143	144	16.0732	-16.0732
195	146	135	-78.3133	78.3133
196	144	147	511.5	-511.5
197	147	148	180.651	-180.651
198	147	149	169.645	-169.645
199	147	150	168.405	-168.405
200	147	145	-55.478	55.478
201	147	151	-22.6813	22.6813
202	147	152	128.858	-128.858
203	148	153	191.378	-191.378
204	148	154	179.258	-179.258
205	148	155	190.815	-190.815
206	153	156	189.626	-189.626
207	153	157	1.75193	-1.75193
208	149	156	189.549	-189.549
209	149	157	-19.9045	19.9045
210	156	17	-34.6003	34.6003
211	156	150	-279.888	279.888
212	156	12	-21.1328	21.1328
213	156	158	-162.866	162.866
214	156	159	-241.462	241.462
215	156	155	-187.38	187.38
216	160	156	-1306.5	1306.5
217	150	161	-111.483	111.483
218	157	162	923.352	-923.352
219	157	155	-3.43492	3.43492
220	157	152	-187.296	187.296
221	157	163	-750.774	750.774
222	154	164	113.667	-113.667
223	154	165	65.5906	-65.5906
224	164	166	282.867	-282.867
225	166	162	-57.2886	57.2886
226	166	167	395.355	-395.355
227	162	168	-349.157	349.157
228	169	162	-250.267	250.267
229	162	170	107.701	-107.701
230	162	171	562.748	-562.748
231	162	172	568.103	-568.103
232	170	173	-383.617	383.617
233	172	173	-430.26	430.26
234	174	175	-20.6373	20.6373
235	176	174	92.9577	-92.9577
236	177	174	-708.595	708.595
237	168	178	83.1678	-83.1678
238	168	179	-11.9473	11.9473
239	168	180	9.81842	-9.81842
240	168	181	44.0988	-44.0988
241	168	182	61.1462	-61.1462
242	168	176	-147.742	147.742
243	178	181	28.2914	-28.2914
244	178	183	-84.4936	84.4936
245	179	184	194.111	-194.111
246	179	185	-149.559	149.559
247	184	88	-199.921	199.921
248	184	180	-82.8409	82.8409
249	184	186	-176.787	176.787
250	184	187	38.6165	-38.6165
251	180	181	171.059	-171.059
252	180	187	65.6104	-65.6104
253	180	188	-285.692	285.692
254	181	182	158.449	-158.449
255	186	189	-74.1424	74.1424
256	186	190	-39.6451	39.6451
257	158	161	-162.866	162.866
258	167	191	35.8746	-35.8746
259	191	192	-101.054	101.054
260	191	193	-81.6548	81.6548
261	194	195	28.3448	-28.3448
262	194	193	41.655	-41.655
263	196	195	-90.5186	90.5186
264	196	192	66.0542	-66.0542
265	197	196	-224.464	224.464
266	145	138	319.041	-319.041
267	151	138	55.6319	-55.6319
268	151	146	-78.3132	78.3132
269	198	197	-474.731	474.731
270	198	199	559.731	-559.731
271	169	197	250.267	-250.267
272	199	200	559.731	-559.731
273	201	200	-559.73	559.73
274	159	152	58.4377	-58.4377
