Gen#	Conn.	MW
1	1	44.7291
2	2	58.2611
3	13	22.3134
4	22	32.3293
5	23	15.7835
6	27	15.7835
T.line#	From	To	From MW	To MW
1	1	2	-21.9454	21.9454
2	1	3	-22.7837	22.7837
3	2	4	-18.8518	18.8518
4	2	5	-15.4745	15.4745
5	2	6	-24.1801	24.1801
6	3	4	-20.3837	20.3837
7	4	6	-23.8746	23.8746
8	4	12	-7.76089	7.76089
9	5	7	-15.4745	15.4745
10	6	7	-7.32546	7.32546
11	6	8	-26.0487	26.0487
12	6	9	-6.11297	6.11297
13	6	10	-3.49626	3.49626
14	6	28	-5.0714	5.0714
15	8	28	3.95134	-3.95134
16	9	10	-6.11297	6.11297
17	9	11	0	0
18	10	17	-6.87467	6.87467
19	10	20	-8.06634	8.06634
20	10	21	5.05497	-5.05497
21	10	22	6.07681	-6.07681
22	12	13	22.3134	-22.3134
23	12	14	-5.0611	5.0611
24	12	15	-8.18788	8.18788
25	12	16	-5.62533	5.62533
26	14	15	1.1389	-1.1389
27	15	18	-6.83366	6.83366
28	15	23	7.98467	-7.98467
29	16	17	-2.12533	2.12533
30	18	19	-3.63366	3.63366
31	19	20	5.86634	-5.86634
32	21	22	22.555	-22.555
33	22	24	-3.69753	3.69753
34	23	24	-4.59887	4.59887
35	24	25	0.403601	-0.403601
36	25	26	-3.5	3.5
37	25	27	3.9036	-3.9036
38	28	27	-1.12006	1.12006
39	27	29	-6.06472	6.06472
40	27	30	-6.93528	6.93528
41	29	30	-3.66472	3.66472
