Gen#	Conn.	MW
1	1	193.913
2	2	100
3	3	56.2709
4	6	54.8282
5	8	335.788
6	9	100
7	12	410
T.line#	From	To	From MW	To MW
1	1	2	30.7819	-30.7819
2	1	15	-77.7464	77.7464
3	1	16	-38.9466	38.9466
4	1	17	-53.0016	53.0016
5	2	3	-66.2181	66.2181
6	3	4	-37.9367	37.9367
7	3	15	-43.5523	43.5523
8	4	5	-5.11387	5.11387
9	4	6	-1.14548	1.14548
10	4	18	-13.8287	13.8287
11	4	18	-17.8487	17.8487
12	5	6	7.88613	-7.88613
13	6	7	1.34	-1.34
14	6	8	25.5725	-25.5725
15	7	8	60.2157	-60.2157
16	7	29	-58.8757	58.8757
17	8	9	-100	100
18	9	10	-18.9525	18.9525
19	9	11	-24.8332	24.8332
20	9	12	-2.51813	2.51813
21	9	13	-13.1952	13.1952
22	9	55	-19.501	19.501
23	10	12	19.3287	-19.3287
24	10	51	-33.2813	33.2813
25	11	13	0.287096	-0.287096
26	11	41	-10.1742	10.1742
27	11	43	-14.946	14.946
28	12	13	-23.1377	23.1377
29	12	16	-4.05335	4.05335
30	12	17	11.0016	-11.0016
31	13	14	-8.68625	8.68625
32	13	15	22.5609	-22.5609
33	13	49	-31.9204	31.9204
34	14	15	42.7335	-42.7335
35	14	46	-40.9198	40.9198
36	15	45	-34.0043	34.0043
37	18	19	-4.47734	4.47734
38	19	20	-1.17734	1.17734
39	21	20	-1.12266	1.12266
40	21	22	1.12266	-1.12266
41	22	23	-8.22997	8.22997
42	22	38	9.35264	-9.35264
43	23	24	-1.92997	1.92997
44	24	25	-6.93871	6.93871
45	24	25	-6.66793	6.66793
46	24	26	11.6767	-11.6767
47	25	30	-7.30664	7.30664
48	26	27	11.6767	-11.6767
49	27	28	20.9767	-20.9767
50	28	29	25.5767	-25.5767
51	29	52	-16.299	16.299
52	30	31	-3.70664	3.70664
53	31	32	2.09336	-2.09336
54	32	33	-3.8	3.8
55	34	32	-7.49336	7.49336
56	34	35	7.49336	-7.49336
57	35	36	13.4934	-13.4934
58	36	37	15.3132	-15.3132
59	36	40	-1.8198	1.8198
60	37	38	18.0731	-18.0731
61	37	39	-2.75995	2.75995
62	38	44	22.0043	-22.0043
63	38	48	13.7915	-13.7915
64	38	49	5.62995	-5.62995
65	39	57	-2.75995	2.75995
66	40	56	-1.8198	1.8198
67	41	42	-9.36073	9.36073
68	41	43	12.946	-12.946
69	56	41	7.45952	-7.45952
70	56	42	2.26073	-2.26073
71	44	45	34.0043	-34.0043
72	46	47	-40.9198	40.9198
73	47	48	-11.2198	11.2198
74	48	49	2.57172	-2.57172
75	49	50	-5.71875	5.71875
76	50	51	15.2813	-15.2813
77	52	53	-11.399	11.399
78	53	54	8.60099	-8.60099
79	54	55	12.701	-12.701
80	57	56	3.94005	-3.94005
