

Initial Value of the Tolerance to kick-start the APP outer iterations= 1000


APP Itearion Count	APP Tolerance
1	0.337588
2	0.19879
3	0.123933
4	0.123931
5	0.123931
6	0.123929
7	0.123929
8	0.123927
9	0.123916
10	0.123927
11	0.123923
12	0.123922
13	0.123925
14	0.123919
15	0.123918
16	0.123917
17	0.12395
18	0.12395
19	0.123913
20	0.123909
21	0.12391
22	0.123912
23	0.123908
24	0.123907
25	0.123904
26	0.123905
27	0.123904
28	0.123902
29	0.123901
30	0.123899
31	0.123902
32	0.123897
33	0.123896
34	0.123894
35	0.123893
36	0.123892
37	0.123892
38	0.123891
39	0.123891
40	0.123888
41	0.123886
42	0.123885
43	0.123885
44	0.123885
45	0.123883
46	0.123883
47	0.123881
48	0.12388
49	0.12388
50	0.123878
51	0.123879
52	0.123876
53	0.123876
54	0.123875
55	0.12387
56	0.123872
57	0.123871
58	0.123871
59	0.12387
60	0.123869
61	0.123873
62	0.123856
63	0.123866
64	0.123865
65	0.123865
66	0.123863
67	0.123863
68	0.12386
69	0.12386
70	0.12386
71	0.123859
72	0.123858
73	0.123858
74	0.123856
75	0.123864
76	0.123855
77	0.123854
78	0.123853
79	0.123852
80	0.123854
81	0.123849
82	0.123851
83	0.123849
84	0.123849
85	0.123848
86	0.123846
87	0.12385
88	0.123846
89	0.123846
90	0.123845
91	0.123845
92	0.123845
93	0.123842
94	0.123841
95	0.123845
96	0.12384
97	0.123839
98	0.123838
99	0.123838
100	0.123837

Execution time (s): 322.167
