

Initial Value of the Tolerance to kick-start the APP outer iterations= 1000


APP Itearion Count	APP Tolerance
1	3.10537e-08
2	7.25129e-08
3	1.53447e-08
4	3.49634e-06
5	1.12293e-08
6	1.27657e-08
7	6.20771e-08
8	5.8674e-09
9	2.30574e-08
10	3.41735e-08
11	5.36298e-09
12	1.0556e-07
13	4.8429e-08
14	3.8528e-06
15	1.57888e-05
16	4.52364e-06
17	1.78303e-05
18	1.54671e-06
19	9.99999e-08
20	1.60091e-09
21	5.82205e-06
22	3.08475e-08
23	5.03408e-08
24	2.66947e-09
25	1.85375e-07
26	5.03212e-06
27	9.5204e-07
28	2.05448e-06
29	2.047e-08
30	4.16371e-08
31	7.11386e-07
32	4.31625e-09
33	8.04409e-08
34	1.34186e-08
35	1.61868e-08
36	7.20904e-06
37	1.23613e-05
38	6.13418e-08
39	1.40292e-05
40	1.08987e-05
41	5.81634e-07
42	1.93942e-08
43	6.23525e-08
44	7.56749e-08
45	2.63647e-08
46	8.23982e-06
47	3.13545e-08
48	9.68167e-06
49	1.13461e-08
50	2.19037e-08
51	1.10413e-08
52	1.60535e-08
53	3.4693e-06
54	9.13515e-07
55	3.87105e-06
56	2.09913e-07
57	1.25592e-08
58	3.6481e-08
59	9.55027e-08
60	2.70385e-08
61	7.11546e-09
62	3.91939e-08
63	4.45787e-08
64	2.35791e-08
65	1.8017e-06
66	1.21398e-07
67	9.41216e-10
68	2.09646e-08
69	6.6802e-06
70	4.07794e-08
71	1.28919e-05
72	2.74965e-06
73	3.01671e-08
74	1.98412e-07
75	7.48452e-09
76	3.6514e-06
77	1.16669e-05
78	1.55992e-08
79	9.95542e-06
80	9.17566e-06
81	2.66213e-07
82	1.16402e-05
83	2.77022e-08
84	3.74817e-09
85	4.53662e-08
86	1.83067e-08
87	1.55193e-08
88	8.35461e-08
89	7.78761e-08
90	2.80532e-08
91	1.74842e-06
92	2.50517e-09
93	7.43797e-07
94	4.36415e-08
95	4.46603e-06
96	4.51237e-06
97	7.11691e-06
98	1.09222e-05
99	1.02044e-05
100	1.80939e-07

Execution time (s): 3.35424
