

Initial Value of the Tolerance to kick-start the APP outer iterations= 1000


APP Itearion Count	APP Tolerance
1	1.86128e-07
2	9.69446e-08
3	1.33331e-07
4	1.85277e-07
5	1.43097e-07
6	1.2279e-07
7	6.39177e-08
8	1.8014e-07
9	1.4925e-07
10	7.90324e-08
11	5.02089e-08
12	1.60678e-07
13	1.66986e-07
14	1.12212e-07
15	9.6175e-08
16	1.27168e-07
17	1.3524e-07
18	2.0594e-07
19	2.42008e-07
20	1.10717e-07
21	2.58258e-07
22	5.96422e-08
23	2.028e-07
24	1.17014e-07
25	2.56114e-07
26	6.57976e-08
27	1.42311e-07
28	1.4823e-07
29	5.09272e-08
30	1.24441e-07
31	1.18204e-07
32	1.42565e-07
33	2.19111e-07
34	1.86537e-07
35	2.45632e-07
36	6.4987e-08
37	1.62739e-07
38	6.60078e-08
39	2.04483e-07
40	1.29982e-07
41	4.54519e-08
42	7.9423e-08
43	9.23292e-08
44	8.34801e-08
45	2.57306e-07
46	7.08626e-08
47	2.70266e-07
48	1.44662e-07
49	9.92522e-08
50	9.24269e-08
51	1.80365e-07
52	1.2381e-07
53	2.54315e-07
54	1.21882e-07
55	1.56163e-07
56	8.92224e-08
57	3.02826e-07
58	1.29967e-07
59	9.44336e-08
60	7.21949e-08
61	1.45294e-07
62	2.05753e-07
63	1.80562e-07
64	9.92607e-08
65	2.16419e-07
66	1.43673e-07
67	9.25466e-08
68	2.13535e-07
69	1.22126e-07
70	1.38714e-07
71	1.32827e-07
72	9.35059e-08
73	1.75726e-07
74	6.71937e-08
75	1.43794e-07
76	2.95592e-07
77	3.32633e-08
78	2.06535e-07
79	3.33712e-07
80	8.58004e-08
81	1.11308e-07
82	1.51546e-07
83	1.33276e-07
84	1.34733e-07
85	1.58509e-07
86	1.8631e-07
87	7.76183e-08
88	1.25225e-07
89	2.38288e-07
90	7.68576e-08
91	1.35025e-07
92	2.6307e-07
93	3.50263e-07
94	2.03677e-07
95	1.88522e-07
96	1.71923e-07
97	2.0188e-07
98	3.46935e-07
99	7.76288e-08
100	1.6078e-07

Execution time (s): 1.52377
