Gen#	Conn.	MW
1	7	13.3733
2	20	13.373
3	25	13.3728
4	81	13.3734
5	52	13.3734
6	105	379.722
7	114	156.934
8	115	293.638
9	120	68.8461
10	121	118.458
11	139	1936.91
12	135	243.005
13	144	13.3735
14	173	13.3749
15	178	284.524
16	184	704.925
17	181	85.0456
18	182	219.714
19	187	104.283
20	167	376.685
21	191	218.702
22	195	13.3735
23	161	207.563
24	163	13.3735
25	203	230.853
26	204	85.0456
27	206	202.5
28	171	1214.69
29	205	1214.68
30	212	481.014
31	215	1978.29
32	226	429.353
33	235	275.41
34	241	101.246
35	243	455.689
36	246	253.131
37	249	306.803
38	252	349.338
39	254	303.765
40	256	607.652
41	244	253.131
42	258	556.995
43	257	582.759
44	237	172.123
45	262	85.0456
46	4	472.91
47	8	630.956
48	13	1224.75
49	22	236.929
50	24	376.684
51	32	334.147
52	39	187.311
53	41	415.173
54	59	506.34
55	68	37.4601
56	75	13.7509
57	79	45.5597
58	82	167.06
59	86	405.044
60	89	405.044
61	98	117.446
62	160	1307.21
63	177	708.978
64	201	560.034
65	270	13.3734
66	288	13.3734
67	290	13.3734
68	291	50.6219
69	292	8.09938
T.line#	From	To	From MW	To MW
1	1	2	-17.7021	17.7021
2	2	3	-400.611	400.611
3	4	2	-472.909	472.909
4	1	5	37.3266	-37.3266
5	5	6	-148.712	148.712
6	5	7	-388.917	388.917
7	8	5	-630.956	630.956
8	1	9	-916.689	916.689
9	1	10	-182.201	182.201
10	1	11	-149.576	149.576
11	1	12	24.087	-24.087
12	13	1	-1224.75	1224.75
13	9	14	-916.689	916.689
14	10	3	-72.1426	72.1426
15	3	15	-119.754	119.754
16	10	6	28.7123	-28.7123
17	10	16	-175.757	175.757
18	10	17	36.9862	-36.9862
19	7	18	18.645	-18.645
20	7	19	-362.935	362.935
21	15	18	-23.7537	23.7537
22	20	18	12.4094	-12.4094
23	16	20	-122.218	122.218
24	18	21	-146.628	146.628
25	22	18	-236.929	236.929
26	16	23	-430.222	430.222
27	24	16	-376.684	376.684
28	21	25	-88.6273	88.6273
29	19	26	-202.935	202.935
30	14	26	-271.839	271.839
31	26	27	-226.852	226.852
32	26	28	-59.1363	59.1363
33	26	29	-31.5948	31.5948
34	26	30	-30.4913	30.4913
35	14	31	-644.85	644.85
36	32	27	-334.147	334.147
37	11	23	100.501	-100.501
38	11	33	-250.076	250.076
39	23	25	-496.607	496.607
40	25	34	18.7103	-18.7103
41	25	35	-22.3164	22.3164
42	23	36	243.886	-243.886
43	34	37	99.7107	-99.7107
44	36	37	-55.4862	55.4862
45	37	38	-122.085	122.085
46	39	37	-187.311	187.311
47	36	40	-115.8	115.8
48	41	36	-415.173	415.173
49	38	42	-77.0849	77.0849
50	42	35	-46.684	46.684
51	42	43	-2.4003	2.4003
52	44	45	158.64	-158.64
53	44	46	-104.329	104.329
54	44	47	-45.1699	45.1699
55	44	48	45.8593	-45.8593
56	45	31	158.64	-158.64
57	49	50	-107.953	107.953
58	50	51	-46.4675	46.4675
59	50	52	-98.8289	98.8289
60	50	53	37.3433	-37.3433
61	49	54	107.953	-107.953
62	28	46	-36.2669	36.2669
63	28	47	-27.5536	27.5536
64	28	48	42.1809	-42.1809
65	28	55	-38.2136	38.2136
66	28	29	26.8909	-26.8909
67	28	30	28.3275	-28.3275
68	28	56	30.4981	-30.4981
69	46	48	87.104	-87.104
70	46	57	-72.7005	72.7005
71	58	31	-506.34	506.34
72	59	58	-506.34	506.34
73	47	60	-26.7237	26.7237
74	48	31	320.374	-320.374
75	48	55	-24.1572	24.1572
76	48	61	-35.0726	35.0726
77	31	62	-672.177	672.177
78	57	63	-9.16913	9.16913
79	57	60	8.20953	-8.20953
80	57	64	-32.741	32.741
81	65	63	-257.456	257.456
82	63	66	-133.255	133.255
