Gen#	Conn.	MW
1	1	6.9117
2	2	50.1612
3	13	27.4836
4	22	45.8176
5	23	23.9674
6	27	34.8585
T.line#	From	To	From MW	To MW
1	1	2	0.35899	-0.35899
2	1	3	-7.27069	7.27069
3	2	4	-8.09648	8.09648
4	2	5	-9.42475	9.42475
5	2	6	-10.581	10.581
6	3	4	-4.87069	4.87069
7	4	6	-11.0887	11.0887
8	4	12	5.7215	-5.7215
9	5	7	-9.42475	9.42475
10	6	7	-13.3752	13.3752
11	6	8	-22.9421	22.9421
12	6	9	4.56022	-4.56022
13	6	10	2.60819	-2.60819
14	6	28	7.47928	-7.47928
15	8	28	7.05789	-7.05789
16	9	10	4.56022	-4.56022
17	9	11	-7.85488e-11	7.85488e-11
18	10	17	-7.86714	7.86714
19	10	20	-7.63386	7.63386
20	10	21	15.5176	-15.5176
21	10	22	12.9518	-12.9518
22	12	13	27.4836	-27.4836
23	12	14	-3.43228	3.43228
24	12	15	-2.49697	2.49697
25	12	16	-4.63286	4.63286
26	14	15	2.76772	-2.76772
27	15	18	-7.26614	7.26614
28	15	23	15.7369	-15.7369
29	16	17	-1.13286	1.13286
30	18	19	-4.06614	4.06614
31	19	20	5.43386	-5.43386
32	21	22	33.0176	-33.0176
33	22	24	0.151764	-0.151764
34	23	24	-5.03046	5.03046
35	24	25	3.8213	-3.8213
36	25	26	-3.5	3.5
37	25	27	7.3213	-7.3213
38	28	27	14.5372	-14.5372
39	27	29	-6.06472	6.06472
40	27	30	-6.93528	6.93528
41	29	30	-3.66472	3.66472
