Gen#	Conn.	MW
1	1	63.6391
2	2	100
3	3	140
4	6	100
5	8	320.713
6	9	100
7	12	410
T.line#	From	To	From MW	To MW
1	1	2	83.5659	-83.5659
2	1	15	-30.7341	30.7341
3	1	16	-23.7202	23.7202
4	1	17	-37.7508	37.7508
5	2	3	-13.4714	13.4714
6	3	4	-13.9701	13.9701
7	3	15	-98.6897	98.6897
8	4	5	5.54161	-5.54161
9	4	6	12.3546	-12.3546
10	4	18	-13.9775	13.9775
11	4	18	-18.0539	18.0539
12	5	6	18.468	-18.468
13	6	7	-9.62668	9.62668
14	6	8	15.3268	-15.3268
15	7	8	55.3865	-55.3865
16	7	29	-65.0648	65.0648
17	8	9	-100	100
18	9	10	-20.8514	20.8514
19	9	11	-23.1669	23.1669
20	9	12	-5.1854	5.1854
21	9	13	-15.4674	15.4674
22	9	55	-15.506	15.506
23	10	12	15.2662	-15.2662
24	10	51	-31.6832	31.6832
25	11	13	-0.32208	0.32208
26	11	41	-9.56085	9.56085
27	11	43	-13.7901	13.7901
28	12	13	-0.927812	0.927812
29	12	16	-18.9581	18.9581
30	12	17	-4.08037	4.08037
31	13	14	5.03841	-5.03841
32	13	15	25.0939	-25.0939
33	13	49	-29.6253	29.6253
34	14	15	51.6778	-51.6778
35	14	46	-36.4967	36.4967
36	15	45	-31.0246	31.0246
37	18	19	-4.98513	4.98513
38	19	20	-1.84645	1.84645
39	21	20	-0.26308	0.26308
40	21	22	0.101331	-0.101331
41	22	23	-3.49974	3.49974
42	22	38	3.35059	-3.35059
43	23	24	2.55287	-2.55287
44	24	25	-6.69422	6.69422
45	24	25	-6.43274	6.43274
46	24	26	15.4195	-15.4195
47	25	30	-7.10538	7.10538
48	26	27	15.2964	-15.2964
49	27	28	24.4692	-24.4692
50	28	29	28.9635	-28.9635
51	29	52	-19.2244	19.2244
52	30	31	-3.71871	3.71871
53	31	32	1.8568	-1.8568
54	32	33	-3.63905	3.63905
55	34	32	-6.77396	6.77396
56	34	35	6.59877	-6.59877
57	35	36	12.3342	-12.3342
58	36	37	13.5422	-13.5422
59	36	40	-1.47374	1.47374
60	37	38	15.6394	-15.6394
61	37	39	-2.36201	2.36201
62	38	44	19.41	-19.41
63	38	48	8.83429	-8.83429
64	38	49	4.2288	-4.2288
65	39	57	-2.53948	2.53948
66	40	56	-1.65241	1.65241
67	41	42	-8.8965	8.8965
68	41	43	12.1622	-12.1622
69	56	41	7.11345	-7.11345
70	56	42	2.13549	-2.13549
71	44	45	31.1663	-31.1663
72	46	47	-36.6758	36.6758
73	47	48	-7.24494	7.24494
74	48	49	1.31997	-1.31997
75	49	50	-6.57602	6.57602
76	50	51	14.0863	-14.0863
77	52	53	-14.4923	14.4923
78	53	54	5.30007	-5.30007
79	54	55	9.09876	-9.09876
80	57	56	3.84433	-3.84433
