Gen#	Conn.	MW
1	1	114.912
2	2	140
T.line#	From	To	From MW	To MW
1	1	2	-63.9127	63.9127
2	1	5	-50.9988	50.9988
3	2	3	-72.4774	72.4774
4	2	4	-60.5112	60.5112
5	2	5	-49.8362	49.8362
6	3	4	21.4499	-21.4499
7	4	5	53.4329	-53.4329
8	4	7	-28.6493	28.6493
9	4	9	-16.5324	16.5324
10	5	6	-40.1738	40.1738
11	6	11	-5.66694	5.66694
12	6	12	-7.26468	7.26468
13	6	13	-16.4256	16.4256
14	7	8	0.08002	-0.08002
15	7	9	-28.9694	28.9694
16	9	10	-6.36297	6.36297
17	9	14	-10.0357	10.0357
18	10	11	2.40036	-2.40036
19	12	13	-1.39538	1.39538
20	13	14	-4.62925	4.62925
