Gen#	Conn.	MW
1	1	1.44573e-44
2	2	1.44573e-44
T.line#	From	To	From MW	To MW
2	1	5	-9.40773	9.40773
3	2	3	-31.0545	31.0545
4	2	4	11.7115	-11.7115
5	2	5	15.0792	-15.0792
6	3	4	47.7274	-47.7274
7	4	5	41.2477	-41.2477
8	4	7	25.1639	-25.1639
9	4	9	10.2677	-10.2677
10	5	6	29.219	-29.219
11	6	11	3.52395	-3.52395
12	6	12	5.69543	-5.69543
13	6	13	5.84286	-5.84286
14	7	8	5.08731	-5.08731
15	7	9	4.81461	-4.81461
16	9	10	14.4519	-14.4519
17	9	14	4.70949	-4.70949
18	10	11	8.20619	-8.20619
19	12	13	-3.42165	3.42165
20	13	14	-4.37141	4.37141
