
****************** INTERNAL NODE VOLTAGE PHASE ANGLE VALUES *********************
NODE ID	VOLTAGE PHASE ANGLE
1	2.98077
2	2.98111
3	2.98099
4	2.98173
5	2.9818
6	2.98134
7	2.98128
8	2.98267
9	2.98382
10	2.98504
11	2.9813
12	2.98123
13	2.98107
14	2.98113
15	2.98114
16	2.9812
17	2.98157
18	2.98119
19	2.98111
20	2.98123
21	2.98148
22	2.98189
23	2.98272
24	2.98282
25	2.98377
26	2.98405
27	2.98173
28	2.98146
29	2.98131
30	2.98241
31	2.98134
32	2.98165
33	2.98116
34	2.98141
35	2.98134
36	2.98134
37	2.98151
38	2.98228
39	2.98124
40	2.98125
41	2.9812
42	2.98156
43	2.98134
44	2.98168
45	2.98195
46	2.98241
47	2.98282
48	2.98268
49	2.98286
50	2.98245
51	2.98194
52	2.98177
53	2.98158
54	2.98172
55	2.98167
56	2.98171
57	2.98195
58	2.98179
59	2.9824
60	2.98306
61	2.98321
62	2.98312
63	2.98304
64	2.98337
65	2.98405
66	2.98393
67	2.9834
68	2.98423
69	2.9845
70	2.98324
71	2.9832
72	2.98302
73	2.9832
74	2.98304
75	2.98326
76	2.98306
77	2.98401
78	2.98395
79	2.98401
80	2.98446
81	2.98431
82	2.98421
83	2.98442
84	2.98483
85	2.98511
86	2.98489
87	2.98496
88	2.98567
89	2.98641
90	2.98581
91	2.98569
92	2.9855
93	2.98498
94	2.98461
95	2.98438
96	2.98431
97	2.98431
98	2.98432
99	2.98463
100	2.98469
101	2.98487
102	2.98527
103	2.98425
104	2.98382
105	2.9837
106	2.98364
107	2.98341
108	2.98363
109	2.98361
110	2.98362
111	2.98385
112	2.98346
113	2.98158
114	2.98159
115	2.98159
116	2.98423
117	2.98095
118	2.98308
Finished writing Internal Node Voltage Phase Angles
