
****************** INTERNAL TRANSMISSION LINES FLOWS *********************
TRANSMISSION LINE ID	MW FLOW
2	-0.51 MW
3	-0.2 MW
4	-0.750464 MW
5	-0.149537 MW
6	-0.923664 MW
7	0.623659 MW
8	0.846326 MW
9	3.25767 MW
10	0.737222 MW
11	0.326323 MW
12	0.136323 MW
13	-3.77073 MW
14	0.513056 MW
15	-3.77073 MW
16	0.349266 MW
17	0.31161 MW
18	0.1366 MW
19	0.0416969 MW
20	0.2 MW
21	-0.0283898 MW
22	-0.00339992 MW
23	-0.984726 MW
24	0.0695952 MW
25	-0.0166577 MW
26	-0.208303 MW
27	0.755055 MW
28	2.17031 MW
29	0.146219 MW
30	-0.0339828 MW
31	0.155057 MW
32	-0.103768 MW
33	-0.12158 MW
34	-0.283768 MW
35	-0.423768 MW
36	-0.523768 MW
37	-0.203118 MW
38	-1.31798 MW
39	0.927333 MW
40	-0.101559 MW
41	-0.101559 MW
42	0.726279 MW
43	1.25176 MW
44	1.90485 MW
45	0.322688 MW
46	0.110239 MW
47	0.198835 MW
48	0.152688 MW
49	-0.0873124 MW
50	0.247595 MW
51	-0.312438 MW
52	0.0339816 MW
53	0.101152 MW
54	-0.246658 MW
55	0.290213 MW
56	-1.04355 MW
57	0.0417743 MW
58	0.0198095 MW
59	-0.349799 MW
60	2.04728 MW
61	0.253389 MW
62	0.153894 MW
63	-1.79968 MW
64	-0.0166119 MW
65	0.104916 MW
66	-0.167633 MW
67	-0.265083 MW
68	-0.401358 MW
69	-0.401358 MW
70	-0.138226 MW
71	-0.298226 MW
72	-0.341657 MW
73	-0.486569 MW
74	-0.320181 MW
75	-0.142268 MW
76	-0.0561631 MW
77	-0.604018 MW
78	-0.342268 MW
79	0.542086 MW
80	0.669996 MW
81	0.392474 MW
82	0.389777 MW
83	-1.1678 MW
84	-1.1678 MW
85	-0.507055 MW
86	0.372086 MW
87	0.293597 MW
88	0.2064 MW
89	0.113598 MW
90	-0.116402 MW
91	0.0698989 MW
92	0.162383 MW
93	-0.29422 MW
94	-0.224576 MW
95	-0.335526 MW
96	-0.252086 MW
97	-0.0863996 MW
98	-0.274962 MW
99	-0.288767 MW
100	-0.456865 MW
101	-0.543818 MW
102	1.66398 MW
103	-1.13535 MW
104	-0.10151 MW
105	0.256185 MW
106	0.594656 MW
107	-0.373123 MW
108	-0.242201 MW
109	-1.66398 MW
110	-2.25864 MW
111	0.3362 MW
112	-1.11816 MW
113	0.522201 MW
114	-0.719877 MW
115	-0.398227 MW
116	-2.4664e-05 MW
117	0.993577 MW
118	1.0157 MW
119	0.4869 MW
120	0.10156 MW
121	0.146551 MW
122	-0.0160941 MW
123	0.101559 MW
124	-9.7817e-13 MW
125	-0.533448 MW
126	-0.373878 MW
127	0.370034 MW
128	-0.639964 MW
129	-0.0400354 MW
130	0.461232 MW
131	-0.934433 MW
132	-0.431619 MW
133	-0.23214 MW
134	-0.248771 MW
135	-0.638768 MW
136	-0.398227 MW
137	0.0847052 MW
138	0.157732 MW
139	0.131723 MW
140	-0.0802488 MW
141	-0.581536 MW
142	-0.190606 MW
143	-0.315653 MW
144	-0.465882 MW
145	-0.425653 MW
146	0.176482 MW
147	-0.554913 MW
148	-0.753104 MW
149	-0.0335176 MW
150	-1.03491 MW
151	0.320557 MW
152	0.604461 MW
153	1.7987 MW
154	0.574539 MW
155	0.145018 MW
156	0.145018 MW
157	0.618997 MW
158	0.563402 MW
159	0.275059 MW
160	0.4108 MW
161	0.498996 MW
162	0.546083 MW
163	0.35209 MW
164	-0.135779 MW
165	0.126081 MW
166	-0.00773119 MW
167	-0.208277 MW
168	-0.0802488 MW
169	-0.1408 MW
170	0.848111 MW
171	0.427916 MW
172	0.457133 MW
173	-0.3608 MW
174	0.270006 MW
175	0.337147 MW
176	0.346134 MW
177	0.317922 MW
178	0.0981926 MW
179	0.154675 MW
180	0.0922049 MW
181	0.125325 MW
182	0.0722059 MW
183	-0.00779384 MW
184	-0.301658 MW
185	0.25 MW
186	0.0211623 MW
Finished writing Internal Transmission lines' MW Flows
