
****************** INTERNAL TRANSMISSION LINES FLOWS *********************
TRANSMISSION LINE ID	MW FLOW
1	-0.119299 MW
2	-0.390701 MW
3	-0.319299 MW
4	-0.68682 MW
5	-0.0938811 MW
6	-0.940667 MW
7	0.640667 MW
8	0.864996 MW
9	3.24885 MW
10	0.756369 MW
11	0.344996 MW
12	0.154996 MW
13	-3.77073 MW
14	0.521882 MW
15	-3.77073 MW
16	0.386287 MW
17	0.31075 MW
18	0.132841 MW
19	0.0375124 MW
20	0.2 MW
21	-0.0292504 MW
22	-0.00715933 MW
23	-0.9871 MW
24	0.0681632 MW
25	-0.0174732 MW
26	-0.212488 MW
27	0.75553 MW
28	2.17672 MW
29	0.145886 MW
30	-0.0342856 MW
31	0.15553 MW
32	-0.104096 MW
33	-0.122211 MW
34	-0.284096 MW
35	-0.424096 MW
36	-0.524096 MW
37	-0.203231 MW
38	-1.31848 MW
39	0.927612 MW
40	-0.101616 MW
41	-0.101616 MW
42	0.727138 MW
43	1.25213 MW
44	1.904 MW
45	0.322828 MW
46	0.110387 MW
47	0.198917 MW
48	0.152828 MW
49	-0.0871715 MW
50	0.24916 MW
51	-0.312629 MW
52	0.0342856 MW
53	0.101083 MW
54	-0.247473 MW
55	0.290146 MW
56	-1.04408 MW
57	0.0417262 MW
58	0.0198545 MW
59	-0.349854 MW
60	2.04862 MW
61	0.253354 MW
62	0.153859 MW
63	-1.79946 MW
64	-0.0166464 MW
65	0.104881 MW
66	-0.167668 MW
67	-0.265119 MW
68	-0.401394 MW
69	-0.401394 MW
70	-0.138274 MW
71	-0.298274 MW
72	-0.341678 MW
73	-0.486595 MW
74	-0.320193 MW
75	-0.142276 MW
76	-0.0561702 MW
77	-0.604023 MW
78	-0.342276 MW
79	0.542076 MW
80	0.669985 MW
81	0.392465 MW
82	0.389768 MW
83	-1.16783 MW
84	-1.16783 MW
85	-0.507059 MW
86	0.372076 MW
87	0.293594 MW
88	0.206392 MW
89	0.113594 MW
90	-0.116406 MW
91	0.0698962 MW
92	0.162367 MW
93	-0.294225 MW
94	-0.224573 MW
95	-0.335531 MW
96	-0.252076 MW
97	-0.0863916 MW
98	-0.274966 MW
99	-0.288772 MW
100	-0.456868 MW
101	-0.543821 MW
102	1.664 MW
103	-1.13536 MW
104	-0.101508 MW
105	0.256191 MW
106	0.594668 MW
107	-0.373119 MW
108	-0.242197 MW
109	-1.664 MW
110	-2.25867 MW
111	0.336257 MW
112	-1.11803 MW
113	0.522197 MW
114	-0.719812 MW
115	-0.398222 MW
116	8.72937e-07 MW
117	0.993632 MW
118	1.01572 MW
119	0.486885 MW
120	0.101616 MW
121	0.146526 MW
122	-0.0161249 MW
123	0.101616 MW
124	-4.12665e-13 MW
125	-0.533474 MW
126	-0.373899 MW
127	0.370019 MW
128	-0.639981 MW
129	-0.0400187 MW
130	0.461226 MW
131	-0.934445 MW
132	-0.431625 MW
133	-0.23215 MW
134	-0.248774 MW
135	-0.638774 MW
136	-0.398222 MW
137	0.0847025 MW
138	0.157729 MW
139	0.131721 MW
140	-0.0802511 MW
141	-0.58154 MW
142	-0.19061 MW
143	-0.315655 MW
144	-0.465885 MW
145	-0.425655 MW
146	0.176482 MW
147	-0.554916 MW
148	-0.753106 MW
149	-0.0335176 MW
150	-1.03492 MW
151	0.320557 MW
152	0.604461 MW
153	1.79871 MW
154	0.574539 MW
155	0.145018 MW
156	0.145018 MW
157	0.618999 MW
158	0.563404 MW
159	0.27506 MW
160	0.410802 MW
161	0.498999 MW
162	0.546085 MW
163	0.352094 MW
164	-0.135777 MW
165	0.126085 MW
166	-0.00772875 MW
167	-0.208279 MW
168	-0.0802511 MW
169	-0.140802 MW
170	0.848115 MW
171	0.427917 MW
172	0.457134 MW
173	-0.360802 MW
174	0.270007 MW
175	0.337148 MW
176	0.346136 MW
177	0.317924 MW
178	0.0981911 MW
179	0.154675 MW
180	0.0922063 MW
181	0.125325 MW
182	0.0722063 MW
183	-0.00779373 MW
184	-0.301658 MW
185	0.25 MW
186	0.0210831 MW
Finished writing Internal Transmission lines' MW Flows
