
****************** INTERNAL NODE VOLTAGE PHASE ANGLE VALUES *********************
NODE ID	VOLTAGE PHASE ANGLE
1	1.47488
2	1.475
3	1.47505
4	1.47571
5	1.47579
6	1.47532
7	1.47525
8	1.47666
9	1.47781
10	1.47902
11	1.47527
12	1.4752
13	1.47505
14	1.4751
15	1.47512
16	1.47517
17	1.47555
18	1.47517
19	1.47509
20	1.47521
21	1.47545
22	1.47586
23	1.4767
24	1.4768
25	1.47775
26	1.47803
27	1.47571
28	1.47544
29	1.47529
30	1.47639
31	1.47532
32	1.47563
33	1.47514
34	1.47539
35	1.47532
36	1.47531
37	1.47549
38	1.47626
39	1.47522
40	1.47523
41	1.47518
42	1.47554
43	1.47532
44	1.47566
45	1.47593
46	1.47639
47	1.4768
48	1.47666
49	1.47684
50	1.47643
51	1.47592
52	1.47575
53	1.47556
54	1.4757
55	1.47565
56	1.47569
57	1.47593
58	1.47577
59	1.47638
60	1.47704
61	1.47719
62	1.4771
63	1.47702
64	1.47735
65	1.47803
66	1.47791
67	1.47738
68	1.47821
69	1.47848
70	1.47722
71	1.47718
72	1.477
73	1.47718
74	1.47702
75	1.47724
76	1.47704
77	1.47799
78	1.47793
79	1.47799
80	1.47844
81	1.47829
82	1.47819
83	1.4784
84	1.47882
85	1.47909
86	1.47887
87	1.47894
88	1.47965
89	1.48039
90	1.47979
91	1.47967
92	1.47948
93	1.47896
94	1.47859
95	1.47836
96	1.47829
97	1.47829
98	1.4783
99	1.47861
100	1.47867
101	1.47885
102	1.47925
103	1.47807
104	1.47749
105	1.47728
106	1.47701
107	1.47689
108	1.47726
109	1.47726
110	1.47732
111	1.47754
112	1.47716
113	1.47556
114	1.47557
115	1.47556
116	1.47821
117	1.47492
118	1.47706
Finished writing Internal Node Voltage Phase Angles
