
****************** INTERNAL NODE VOLTAGE PHASE ANGLE VALUES *********************
NODE ID	VOLTAGE PHASE ANGLE
1	2.99261
2	2.99273
3	2.99278
4	2.99344
5	2.99352
6	2.99305
7	2.99298
8	2.99438
9	2.99553
10	2.99674
11	2.993
12	2.99293
13	2.99278
14	2.99283
15	2.99285
16	2.9929
17	2.99328
18	2.9929
19	2.99282
20	2.99295
21	2.99319
22	2.9936
23	2.99443
24	2.99453
25	2.99549
26	2.99577
27	2.99345
28	2.99317
29	2.99303
30	2.99412
31	2.99305
32	2.99336
33	2.99287
34	2.99313
35	2.99305
36	2.99305
37	2.99323
38	2.99399
39	2.99296
40	2.99297
41	2.99292
42	2.99328
43	2.99306
44	2.9934
45	2.99367
46	2.99413
47	2.99454
48	2.9944
49	2.99458
50	2.99417
51	2.99366
52	2.99349
53	2.9933
54	2.99344
55	2.99339
56	2.99343
57	2.99367
58	2.99351
59	2.99412
60	2.99478
61	2.99493
62	2.99484
63	2.99476
64	2.99509
65	2.99577
66	2.99565
67	2.99512
68	2.99595
69	2.99622
70	2.99496
71	2.99492
72	2.99473
73	2.99492
74	2.99476
75	2.99498
76	2.99478
77	2.99573
78	2.99567
79	2.99573
80	2.99618
81	2.99603
82	2.99593
83	2.99614
84	2.99655
85	2.99683
86	2.99661
87	2.99668
88	2.99739
89	2.99813
90	2.99753
91	2.99741
92	2.99722
93	2.9967
94	2.99633
95	2.9961
96	2.99603
97	2.99603
98	2.99604
99	2.99635
100	2.99641
101	2.99659
102	2.99699
103	2.99597
104	2.99554
105	2.99542
106	2.99537
107	2.99514
108	2.99535
109	2.99533
110	2.99534
111	2.99557
112	2.99518
113	2.99329
114	2.9933
115	2.9933
116	2.99595
117	2.99265
118	2.9948
Finished writing Internal Node Voltage Phase Angles
