
The Optimal Objective value (Generation Dispatch cost) is: 104096

****************** GENERATORS' POWER GENERATION LEVELS (MW) *********************
GENERATOR ID	GENERATOR MW
1	1.07501e-12 MW
2	1.07501e-12 MW
3	1.07501e-12 MW
4	1.07501e-12 MW
5	3.77075 MW
6	0.712249 MW
7	1.07501e-12 MW
8	1.07501e-12 MW
9	1.07501e-12 MW
10	1.07501e-12 MW
11	1.84347 MW
12	2.63113 MW
13	1.07501e-12 MW
14	0.0586559 MW
15	1.07501e-12 MW
16	1.07501e-12 MW
17	1.07501e-12 MW
18	1.07501e-12 MW
19	1.07501e-12 MW
20	0.159209 MW
21	1.7094 MW
22	0.402212 MW
23	1.07501e-12 MW
24	1.07501e-12 MW
25	1.29881 MW
26	1.3407 MW
27	1.07501e-12 MW
28	3.27635 MW
29	3.28472 MW
30	4.32713 MW
31	1.07501e-12 MW
32	1.07501e-12 MW
33	1.07501e-12 MW
34	1.07501e-12 MW
35	1.07501e-12 MW
36	1.07501e-12 MW
37	3.99697 MW
38	1.07501e-12 MW
39	0.0335176 MW
40	5.08629 MW
41	1.07501e-12 MW
42	1.07501e-12 MW
43	1.07501e-12 MW
44	1.07501e-12 MW
45	2.11161 MW
46	0.335176 MW
47	1.07501e-12 MW
48	1.07501e-12 MW
49	1.07501e-12 MW
50	1.07501e-12 MW
51	0.301658 MW
52	1.07501e-12 MW
53	1.07501e-12 MW
54	1.07501e-12 MW
Finished writing Power Generation
