
The Optimal Objective value (Generation Dispatch cost) is: 104228

****************** GENERATORS' POWER GENERATION LEVELS (MW) *********************
GENERATOR ID	GENERATOR MW
1	7.50263e-13 MW
2	7.50272e-13 MW
3	7.50261e-13 MW
4	7.49632e-13 MW
5	3.75589 MW
6	0.713466 MW
7	7.50272e-13 MW
8	7.50257e-13 MW
9	7.49161e-13 MW
10	7.50265e-13 MW
11	1.84543 MW
12	2.6329 MW
13	7.50266e-13 MW
14	0.0587592 MW
15	7.50265e-13 MW
16	7.50265e-13 MW
17	7.50272e-13 MW
18	7.50257e-13 MW
19	7.49624e-13 MW
20	0.159535 MW
21	1.71135 MW
22	0.402976 MW
23	7.50264e-13 MW
24	7.48758e-13 MW
25	1.30058 MW
26	1.3425 MW
27	7.50273e-13 MW
28	3.27757 MW
29	3.28537 MW
30	4.32681 MW
31	7.50262e-13 MW
32	7.50272e-13 MW
33	7.50266e-13 MW
34	7.49478e-13 MW
35	7.50268e-13 MW
36	7.50269e-13 MW
37	3.99721 MW
38	7.50269e-13 MW
39	0.0335857 MW
40	5.08445 MW
41	7.50271e-13 MW
42	7.50274e-13 MW
43	7.50264e-13 MW
44	7.49749e-13 MW
45	2.11357 MW
46	0.335826 MW
47	7.50273e-13 MW
48	7.50263e-13 MW
49	7.49332e-13 MW
50	7.50265e-13 MW
51	0.302196 MW
52	7.50897e-13 MW
53	7.50267e-13 MW
54	7.49308e-13 MW
Finished writing Power Generation
