
****************** INTERNAL TRANSMISSION LINES FLOWS *********************
TRANSMISSION LINE ID	MW FLOW
1	-0.119304 MW
2	-0.390697 MW
3	-0.319304 MW
4	-0.68681 MW
5	-0.0938876 MW
6	-0.94064 MW
7	0.640648 MW
8	0.864977 MW
9	3.24877 MW
10	0.756347 MW
11	0.344977 MW
12	0.154977 MW
13	-3.77075 MW
14	0.521976 MW
15	-3.77075 MW
16	0.386255 MW
17	0.31074 MW
18	0.132831 MW
19	0.0374581 MW
20	0.2 MW
21	-0.0292603 MW
22	-0.00716872 MW
23	-0.98737 MW
24	0.0680302 MW
25	-0.0170902 MW
26	-0.212542 MW
27	0.755596 MW
28	2.17612 MW
29	0.145384 MW
30	-0.0347718 MW
31	0.155596 MW
32	-0.104589 MW
33	-0.121785 MW
34	-0.284589 MW
35	-0.424589 MW
36	-0.524589 MW
37	-0.205876 MW
38	-1.31724 MW
39	0.92853 MW
40	-0.102938 MW
41	-0.102938 MW
42	0.725976 MW
43	1.2522 MW
44	1.90516 MW
45	0.322975 MW
46	0.110336 MW
47	0.19889 MW
48	0.152975 MW
49	-0.0870245 MW
50	0.251013 MW
51	-0.312985 MW
52	0.0347723 MW
53	0.101108 MW
54	-0.24709 MW
55	0.290167 MW
56	-1.04387 MW
57	0.0419251 MW
58	0.0198296 MW
59	-0.349831 MW
60	2.04837 MW
61	0.253542 MW
62	0.154046 MW
63	-1.79736 MW
64	-0.0164578 MW
65	0.105069 MW
66	-0.16748 MW
67	-0.264931 MW
68	-0.401206 MW
69	-0.401206 MW
70	-0.138075 MW
71	-0.298075 MW
72	-0.341632 MW
73	-0.486443 MW
74	-0.320239 MW
75	-0.142184 MW
76	-0.0557251 MW
77	-0.604514 MW
78	-0.342184 MW
79	0.542177 MW
80	0.670107 MW
81	0.392568 MW
82	0.38987 MW
83	-1.16726 MW
84	-1.16726 MW
85	-0.507565 MW
86	0.372177 MW
87	0.293632 MW
88	0.206475 MW
89	0.113632 MW
90	-0.116368 MW
91	0.0699268 MW
92	0.162468 MW
93	-0.29411 MW
94	-0.224653 MW
95	-0.335418 MW
96	-0.252178 MW
97	-0.0864758 MW
98	-0.274864 MW
99	-0.288665 MW
100	-0.456802 MW
101	-0.543749 MW
102	1.6637 MW
103	-1.13526 MW
104	-0.101536 MW
105	0.256112 MW
106	0.594416 MW
107	-0.373173 MW
108	-0.242251 MW
109	-1.6637 MW
110	-2.25811 MW
111	0.335226 MW
112	-1.11435 MW
113	0.522251 MW
114	-0.72829 MW
115	-0.386098 MW
116	7.66704e-06 MW
117	0.985995 MW
118	1.00122 MW
119	0.499541 MW
120	0.102938 MW
121	0.141908 MW
122	-0.0217883 MW
123	0.102938 MW
124	-9.7817e-13 MW
125	-0.538092 MW
126	-0.358657 MW
127	0.33 MW
128	-0.68 MW
130	0.458698 MW
131	-0.940036 MW
132	-0.434207 MW
133	-0.233569 MW
134	-0.251304 MW
135	-0.641304 MW
136	-0.386098 MW
137	0.0851897 MW
138	0.158216 MW
139	0.131944 MW
140	-0.0800286 MW
141	-0.581798 MW
142	-0.19177 MW
143	-0.315766 MW
144	-0.466032 MW
145	-0.425766 MW
146	0.176482 MW
147	-0.555045 MW
148	-0.753236 MW
149	-0.0335176 MW
150	-1.03504 MW
151	0.320546 MW
152	0.604441 MW
153	1.79853 MW
154	0.574484 MW
155	0.144987 MW
156	0.144987 MW
157	0.61895 MW
158	0.563355 MW
159	0.274979 MW
160	0.41072 MW
161	0.49895 MW
162	0.546171 MW
163	0.352191 MW
164	-0.136057 MW
165	0.126172 MW
166	-0.00821615 MW
167	-0.208057 MW
168	-0.0800286 MW
169	-0.14072 MW
170	0.848115 MW
171	0.427917 MW
172	0.457134 MW
173	-0.360721 MW
174	0.270007 MW
175	0.337148 MW
176	0.346136 MW
177	0.317924 MW
178	0.0981907 MW
179	0.154675 MW
180	0.0922064 MW
181	0.125325 MW
182	0.0722066 MW
183	-0.00779358 MW
184	-0.301658 MW
185	0.25 MW
186	0.0211117 MW
Finished writing Internal Transmission lines' MW Flows
