
****************** INTERNAL TRANSMISSION LINES FLOWS *********************
TRANSMISSION LINE ID	MW FLOW
1	-0.119589 MW
2	-0.390411 MW
3	-0.319589 MW
4	-0.68616 MW
5	-0.0942517 MW
6	-0.939371 MW
7	0.63939 MW
8	0.863796 MW
9	3.24426 MW
10	0.754929 MW
11	0.343795 MW
12	0.153795 MW
13	-3.75589 MW
14	0.511629 MW
15	-3.75589 MW
16	0.384631 MW
17	0.309685 MW
18	0.131691 MW
19	0.0363608 MW
20	0.2 MW
21	-0.0303149 MW
22	-0.00830917 MW
23	-0.987052 MW
24	0.0670371 MW
25	-0.018607 MW
26	-0.213639 MW
27	0.755064 MW
28	2.17569 MW
29	0.14501 MW
30	-0.0350782 MW
31	0.155065 MW
32	-0.104647 MW
33	-0.123252 MW
34	-0.284647 MW
35	-0.424647 MW
36	-0.524647 MW
37	-0.204843 MW
38	-1.31841 MW
39	0.928602 MW
40	-0.102422 MW
41	-0.102422 MW
42	0.725681 MW
43	1.25271 MW
44	1.90722 MW
45	0.323119 MW
46	0.110576 MW
47	0.199016 MW
48	0.153119 MW
49	-0.0868811 MW
50	0.243161 MW
51	-0.313113 MW
52	0.0350773 MW
53	0.100986 MW
54	-0.248606 MW
55	0.290139 MW
56	-1.04414 MW
57	0.0407537 MW
58	0.0198576 MW
59	-0.34986 MW
60	2.04809 MW
61	0.252489 MW
62	0.153003 MW
63	-1.80493 MW
64	-0.0175105 MW
65	0.104022 MW
66	-0.16853 MW
67	-0.265977 MW
68	-0.402254 MW
69	-0.402254 MW
70	-0.139246 MW
71	-0.299246 MW
72	-0.342165 MW
73	-0.487082 MW
74	-0.320251 MW
75	-0.142378 MW
76	-0.0564448 MW
77	-0.603806 MW
78	-0.342379 MW
79	0.541835 MW
80	0.669688 MW
81	0.392203 MW
82	0.389508 MW
83	-1.16774 MW
84	-1.16774 MW
85	-0.50682 MW
86	0.371836 MW
87	0.293492 MW
88	0.206196 MW
89	0.113492 MW
90	-0.116507 MW
91	0.0699059 MW
92	0.162569 MW
93	-0.29429 MW
94	-0.224491 MW
95	-0.335603 MW
96	-0.251835 MW
97	-0.0861959 MW
98	-0.275033 MW
99	-0.288842 MW
100	-0.456691 MW
101	-0.543653 MW
102	1.66284 MW
103	-1.1354 MW
104	-0.101288 MW
105	0.256532 MW
106	0.593076 MW
107	-0.372839 MW
108	-0.241917 MW
109	-1.66284 MW
110	-2.25592 MW
111	0.334863 MW
112	-1.11814 MW
113	0.521917 MW
114	-0.719303 MW
115	-0.398868 MW
116	7.87042e-06 MW
117	0.994392 MW
118	1.01597 MW
119	0.486522 MW
120	0.102421 MW
121	0.146144 MW
122	-0.0165941 MW
123	0.102422 MW
124	-9.7817e-13 MW
125	-0.533856 MW
126	-0.374233 MW
127	0.369752 MW
128	-0.640249 MW
129	-0.0397516 MW
130	0.461051 MW
131	-0.934841 MW
132	-0.431808 MW
133	-0.232367 MW
134	-0.248954 MW
135	-0.638954 MW
136	-0.398868 MW
137	0.0845801 MW
138	0.157606 MW
139	0.131262 MW
140	-0.080709 MW
141	-0.581324 MW
142	-0.191044 MW
143	-0.315562 MW
144	-0.465761 MW
145	-0.425562 MW
146	0.176414 MW
147	-0.554774 MW
148	-0.752964 MW
149	-0.0335857 MW
150	-1.03477 MW
151	0.320492 MW
152	0.604337 MW
153	1.79767 MW
154	0.574209 MW
155	0.144829 MW
156	0.144829 MW
157	0.618665 MW
158	0.56307 MW
159	0.274617 MW
160	0.410357 MW
161	0.498665 MW
162	0.546404 MW
163	0.352454 MW
164	-0.137121 MW
165	0.126404 MW
166	-0.0076063 MW
167	-0.208738 MW
168	-0.080709 MW
169	-0.140357 MW
170	0.847263 MW
171	0.427733 MW
172	0.45698 MW
173	-0.360357 MW
174	0.270052 MW
175	0.337161 MW
176	0.345877 MW
177	0.317786 MW
178	0.0983253 MW
179	0.154695 MW
180	0.091927 MW
181	0.125305 MW
182	0.0719266 MW
183	-0.0080726 MW
184	-0.302196 MW
185	0.25 MW
186	0.020985 MW
Finished writing Internal Transmission lines' MW Flows
