
****************** INTERNAL NODE VOLTAGE PHASE ANGLE VALUES *********************
NODE ID	VOLTAGE PHASE ANGLE
1	3.11192
2	3.12053
3	3.06422
4	3.05032
5	3.04354
6	3.04859
7	3.04999
8	3.09289
9	3.04239
10	3.01057
11	3.02133
12	3.03497
13	3.02154
14	3.01777
15	3.04115
16	3.03168
17	3.05467
18	2.97357
19	2.94291
20	2.9378
21	2.94653
22	2.94785
23	2.9466
24	2.94165
25	2.85964
26	2.94717
27	2.97682
28	2.99683
29	3.01185
30	2.84488
31	2.82646
32	2.84226
33	2.84089
34	2.91368
35	2.91952
36	2.92677
37	2.93237
38	2.95061
39	2.93133
40	2.92592
41	2.94513
42	2.91218
43	2.99847
44	2.96348
45	3.00571
46	2.9877
47	2.95987
48	2.95726
49	2.96057
50	2.95326
51	2.98688
52	2.98137
53	2.97016
54	2.99012
55	3.01889
56	2.90417
57	2.89393
Finished writing Internal Node Voltage Phase Angles
