
****************** INTERNAL NODE VOLTAGE PHASE ANGLE VALUES *********************
NODE ID	VOLTAGE PHASE ANGLE
1	3.83188
2	3.85649
3	3.83071
4	3.96722
5	3.90944
6	3.88666
7	3.83797
8	4.015
9	3.81324
10	3.83473
11	3.77794
12	3.75276
13	3.96996
14	3.7424
15	3.80548
16	3.83222
17	3.59451
18	3.8079
19	3.73038
20	3.8072
21	3.75878
22	3.84382
23	3.78833
24	3.92953
25	3.72937
26	3.68998
27	3.58961
28	4.03622
29	3.77003
30	3.84769
31	3.69073
32	3.62901
33	3.66918
34	3.73333
35	3.68354
36	3.87786
37	3.83656
38	3.78985
39	3.87548
40	3.79912
41	4.00608
42	3.73677
43	3.73365
44	3.85425
45	3.70915
46	3.86089
47	3.87316
48	3.92508
49	2.82281
50	2.78718
51	2.7627
52	2.78628
53	2.77891
54	2.84328
55	4.92539
56	4.03768
57	3.56842
58	3.72913
59	3.91867
60	3.65208
61	4.28098
62	3.42847
63	3.37283
64	3.54602
65	3.35626
66	3.15014
67	3.55445
68	3.47295
69	3.49664
70	2.94096
71	2.78609
72	2.85391
73	3.14682
74	3.6083
75	5.22287
76	3.97507
77	3.79935
78	3.75535
79	3.92905
80	3.70853
81	3.59659
82	3.84094
83	3.69696
84	3.71951
85	3.7192
86	3.81495
87	3.62917
88	3.72106
89	3.84808
90	3.34668
91	2.63697
92	2.78026
93	2.57898
94	2.56248
95	2.69376
96	2.77786
97	2.65909
98	2.87086
99	2.73568
100	2.83931
101	2.79252
102	2.68147
103	2.74921
104	2.71595
105	2.89426
106	2.47181
107	2.50127
108	3.51159
109	3.57315
110	3.46543
111	3.57691
112	3.566
113	3.65414
114	3.73633
115	3.77982
116	3.63334
117	3.66079
118	3.64333
119	3.6016
120	3.60485
121	3.46748
122	3.2109
123	3.29483
124	3.53609
125	3.53312
126	3.41611
127	2.96162
128	2.98554
129	2.80936
130	1.7884
131	1.92184
132	2.01667
133	1.93336
134	1.60815
135	1.98731
136	1.97271
137	1.95939
138	2.09108
139	1.78827
140	1.73985
141	1.7652
142	1.58515
143	2.11781
144	2.4606
145	2.12227
146	2.09678
147	2.61391
148	2.98334
149	3.26598
150	3.49647
151	2.22063
152	3.22231
153	3.27601
154	3.07733
155	3.2753
156	3.59451
157	3.29438
158	3.55654
159	3.24695
160	3.86317
161	3.46632
162	3.45792
163	3.22736
164	3.14815
165	3.09182
166	3.40415
167	3.56236
168	3.44837
169	3.57998
170	3.46802
171	3.5401
172	3.48024
173	3.40073
174	3.46747
175	3.42067
176	3.44334
177	3.60107
178	3.50474
179	3.5595
180	3.61414
181	3.66006
182	3.71309
183	3.46879
184	3.74321
185	3.47603
186	3.663
187	3.76644
188	3.56452
189	3.5056
190	3.46677
191	3.6684
192	3.6675
193	3.62576
194	3.54413
195	3.68091
196	3.68559
197	3.74337
198	3.92854
199	4.08852
200	4.16884
201	4.26941
202	3.34274
203	3.67468
204	3.62592
205	3.5264
206	3.13465
207	2.57769
208	2.59275
209	2.57484
210	2.56577
211	2.19537
212	2.20616
213	2.19462
214	2.19706
215	0.545634
216	0.637684
217	0.726944
218	2.57921
219	2.57064
220	2.57478
221	2.23195
222	2.43144
223	2.53005
224	2.58005
225	2.56842
226	2.64632
227	2.53462
228	2.59873
229	2.50924
230	2.48169
231	2.35167
232	2.54573
233	2.73386
234	2.38435
235	2.50145
236	2.42554
237	2.43038
238	2.29399
239	2.20111
240	2.17214
241	2.12304
242	2.20608
243	1.93926
244	2.14534
245	1.92623
246	2.13615
247	1.8143
248	1.91944
249	2.04232
250	2.17982
251	2.18791
252	2.28088
253	2.15056
254	2.05813
255	2.14472
256	2.29991
257	2.3101
258	2.24934
259	2.19564
260	2.39156
261	2.37828
262	2.44888
263	2.42352
264	2.38415
265	2.29946
266	2.25675
267	4.04651
268	3.92921
269	4.60664
270	4.80461
271	4.79956
272	4.76113
273	3.89006
274	3.90712
275	3.80409
276	3.82216
277	3.79923
278	3.8685
279	3.83267
280	3.83937
281	3.84224
282	3.81352
283	3.88734
284	3.8861
285	3.8613
286	3.84193
287	3.85891
288	4.42137
289	3.93405
290	4.42244
291	4.1572
292	4.14392
293	3.87686
294	3.88614
295	4.569
296	4.75649
297	4.79099
298	4.77324
299	4.77472
300	4.41352
Finished writing Internal Node Voltage Phase Angles
