
****************** INTERNAL NODE VOLTAGE PHASE ANGLE VALUES *********************
NODE ID	VOLTAGE PHASE ANGLE
1	3.15572
2	3.18499
3	3.15975
4	3.29573
5	3.24621
6	3.21915
7	3.19429
8	3.35177
9	3.16401
10	3.14868
11	3.1415
12	3.10121
13	3.22506
14	3.19553
15	3.14835
16	3.16508
17	3.10486
18	3.16365
19	3.13069
20	3.13821
21	3.11305
22	3.21472
23	3.14027
24	3.28934
25	3.08216
26	3.1343
27	3.06675
28	3.39172
29	3.23634
30	3.30277
31	3.26747
32	3.12361
33	3.13048
34	3.0942
35	3.05209
36	3.24902
37	3.22459
38	3.17458
39	3.27716
40	3.17027
41	3.38595
42	3.11549
43	3.11237
44	3.30605
45	3.27182
46	3.30617
47	3.30926
48	3.34786
49	2.96951
50	2.94124
51	2.9198
52	2.93176
53	2.95379
54	2.98575
55	3.82765
56	3.39271
57	3.18552
58	3.30587
59	3.49541
60	3.19875
61	3.52595
62	3.18283
63	3.12902
64	3.17528
65	3.15147
66	3.01278
67	3.20648
68	3.22068
69	3.25579
70	2.99404
71	2.99164
72	2.94273
73	2.97494
74	3.18281
75	3.97674
76	3.39968
77	3.3558
78	3.43903
79	3.47905
80	3.41362
81	3.2603
82	3.55255
83	3.409
84	3.43502
85	3.42117
86	3.54229
87	3.30305
88	3.41366
89	3.56603
90	3.01039
91	2.90017
92	2.94939
93	2.85187
94	2.94178
95	2.83072
96	2.91482
97	2.79604
98	3.03074
99	2.89278
100	2.89239
101	2.97011
102	2.93719
103	2.92409
104	2.89083
105	3.10193
106	2.91058
107	2.9322
108	3.09284
109	3.11431
110	3.07674
111	3.12923
112	3.10716
113	3.13213
114	3.26511
115	3.37648
116	3.18054
117	3.24108
118	3.23338
119	3.15276
120	3.15883
121	3.07892
122	2.95887
123	2.9898
124	3.10791
125	3.10494
126	3.02755
127	2.85954
128	2.86435
129	2.83193
130	1.90999
131	1.97161
132	2.01541
133	1.99618
134	1.82699
135	2.02424
136	2.07261
137	2.07032
138	2.09297
139	2.06126
140	1.91823
141	2.03819
142	1.80399
143	2.04787
144	2.2088
145	2.09002
146	2.08194
147	2.32802
148	2.5286
149	2.70394
150	2.92344
151	2.14722
152	2.66042
153	2.70725
154	2.61525
155	2.70662
156	2.99219
157	2.69586
158	2.96391
159	2.67765
160	3.12707
161	2.89671
162	2.78085
163	2.62577
164	2.66056
165	2.65461
166	2.8623
167	3.04581
168	2.82145
169	2.92659
170	2.77728
171	2.81452
172	2.7827
173	2.7035
174	2.84695
175	2.86555
176	2.81901
177	2.98055
178	2.98007
179	3.08222
180	3.1703
181	3.19331
182	3.25783
183	2.94391
184	3.32431
185	3.01357
186	3.24191
187	3.35368
188	3.12804
189	3.08086
190	3.03195
191	3.13122
192	3.10668
193	3.08155
194	2.96628
195	3.06825
196	3.07815
197	3.12168
198	3.30685
199	3.46684
200	3.54715
201	3.64772
202	2.86227
203	3.309
204	3.238
205	2.80499
206	2.71343
207	2.89871
208	2.87741
209	2.90784
210	2.93949
211	2.90116
212	2.87688
213	2.8641
214	2.86778
215	2.40151
216	2.23567
217	2.27658
218	2.87085
219	2.92557
220	2.85304
221	2.87284
222	2.87022
223	2.94225
224	2.9478
225	2.91763
226	3.01596
227	2.91241
228	2.97261
229	2.90076
230	2.89674
231	2.87612
232	2.8367
233	2.83423
234	2.96658
235	3.14062
236	3.029
237	3.0361
238	2.90204
239	2.8607
240	2.84504
241	2.85382
242	2.86938
243	2.76017
244	2.87466
245	2.75112
246	2.84335
247	2.69878
248	2.74448
249	2.76051
250	2.88152
251	2.88622
252	3.02083
253	2.82712
254	2.78442
255	2.87334
256	2.99822
257	2.97339
258	2.97866
259	2.86635
260	2.9937
261	2.96314
262	3.06045
263	3.03103
264	2.98536
265	2.82391
266	2.7812
267	3.39913
268	3.28425
269	3.74986
270	3.87719
271	3.87215
272	3.83372
273	3.24509
274	3.26216
275	3.15912
276	3.1772
277	3.15427
278	3.22353
279	3.18771
280	3.19441
281	3.19727
282	3.16855
283	3.24238
284	3.24114
285	3.21633
286	3.19696
287	3.21395
288	3.6522
289	3.28667
290	3.65144
291	3.5068
292	3.47643
293	3.23189
294	3.24117
295	3.71223
296	3.82908
297	3.86357
298	3.84583
299	3.84731
300	3.64252
Finished writing Internal Node Voltage Phase Angles
