
The Optimal Objective value (Generation Dispatch cost) is: -824037

****************** GENERATORS' POWER GENERATION LEVELS (MW) *********************
GENERATOR ID	GENERATOR MW
1	30.6945 MW
2	30.965 MW
3	31.1504 MW
4	32.8891 MW
5	33.6503 MW
6	475 MW
7	255 MW
8	390 MW
9	148.891 MW
10	217 MW
11	2030 MW
12	340 MW
13	48.807 MW
14	32.4902 MW
15	381 MW
16	796 MW
17	184 MW
18	317 MW
19	203 MW
20	472 MW
21	316 MW
22	30.6172 MW
23	305 MW
24	33.1875 MW
25	328 MW
26	184 MW
27	300 MW
28	4.07454e-13 MW
29	4.07445e-13 MW
30	575 MW
31	2073 MW
32	524 MW
33	372 MW
34	200 MW
35	550 MW
36	350 MW
37	403 MW
38	445 MW
39	400 MW
40	700 MW
41	350 MW
42	650 MW
43	675.43 MW
44	270 MW
45	184 MW
46	567 MW
47	723 MW
48	4.00742e-13 MW
49	334 MW
50	472 MW
51	430 MW
52	285 MW
53	510 MW
54	600 MW
55	73.7837 MW
56	2.16685e-13 MW
57	91.9031 MW
58	265 MW
59	500 MW
60	500 MW
61	216 MW
62	3.70032e-13 MW
63	800 MW
64	653 MW
65	27.6742 MW
66	28.0313 MW
67	28.027 MW
68	103.654 MW
69	14.6148 MW
Finished writing Power Generation
