
The Optimal Objective value (Generation Dispatch cost) is: 782318

****************** GENERATORS' POWER GENERATION LEVELS (MW) *********************
GENERATOR ID	GENERATOR MW
1	68.6138 MW
2	68.7259 MW
3	68.8026 MW
4	69.5229 MW
5	69.8381 MW
6	403.164 MW
7	203.962 MW
8	307.738 MW
9	100.664 MW
10	169.143 MW
11	1017.81 MW
12	270.006 MW
13	76.1162 MW
14	69.3576 MW
15	300.628 MW
16	796 MW
17	127.885 MW
18	252.974 MW
19	153.672 MW
20	398.284 MW
21	252.223 MW
22	68.5818 MW
23	243.884 MW
24	69.6464 MW
25	261.165 MW
26	127.885 MW
27	240.084 MW
28	652.826 MW
29	652.826 MW
30	575 MW
31	1039.31 MW
32	510.938 MW
33	293.723 MW
34	150.034 MW
35	550 MW
36	277.353 MW
37	318.511 MW
38	360.454 MW
39	315.963 MW
40	700 MW
41	277.353 MW
42	650 MW
43	675.43 MW
44	216.466 MW
45	127.885 MW
46	567 MW
47	723 MW
48	657.826 MW
49	265.594 MW
50	398.284 MW
51	343.795 MW
52	228.545 MW
53	473.804 MW
54	600 MW
55	50.4187 MW
56	1202.33 MW
57	62.8612 MW
58	212.307 MW
59	450.711 MW
60	450.711 MW
61	168.105 MW
62	698.825 MW
63	800 MW
64	653 MW
65	67.3628 MW
66	67.5107 MW
67	67.5089 MW
68	70.8416 MW
69	9.66276 MW
Finished writing Power Generation
