
****************** INTERNAL TRANSMISSION LINES FLOWS *********************
TRANSMISSION LINE ID	MW FLOW
1	-47.3146 MW
2	429.685 MW
3	567 MW
4	-149.148 MW
5	253.145 MW
6	264.707 MW
7	723 MW
8	372.836 MW
9	-94.909 MW
10	78.1878 MW
11	1130.35 MW
12	1310 MW
13	372.836 MW
14	10.32 MW
15	87.0054 MW
16	-133.145 MW
17	27.9163 MW
19	50.5323 MW
20	256.174 MW
21	-8.99462 MW
22	-0.792012 MW
23	47.208 MW
24	144.491 MW
25	186.745 MW
26	292.587 MW
27	311.879 MW
28	86.4909 MW
29	96.1745 MW
30	137.947 MW
31	322.753 MW
32	-139.611 MW
33	-32.2762 MW
34	-43.4448 MW
35	234.889 MW
36	238.247 MW
37	-57.7574 MW
38	135.945 MW
39	421.151 MW
40	-11.998 MW
41	24.6401 MW
42	-263.322 MW
43	-92.998 MW
44	64.5365 MW
45	119.76 MW
46	169.221 MW
47	115.8 MW
48	443.658 MW
49	74.7599 MW
50	44.3599 MW
51	2.4 MW
52	230.308 MW
53	-55.3571 MW
54	-65.2211 MW
55	-164.73 MW
56	230.308 MW
57	75.808 MW
58	40.7998 MW
59	6.48057 MW
60	28.5277 MW
61	-75.808 MW
62	373.041 MW
63	254.778 MW
64	308.717 MW
65	-1097.74 MW
66	104.799 MW
67	148.449 MW
68	-316.65 MW
69	-173.489 MW
70	336.173 MW
71	600 MW
72	600 MW
73	143.557 MW
74	808.112 MW
75	-523.723 MW
76	-399.89 MW
77	1873.31 MW
78	271.657 MW
79	-31.9327 MW
80	57.4479 MW
81	-82.8362 MW
82	265.109 MW
83	-216.216 MW
84	55.071 MW
85	-343.838 MW
86	-342.392 MW
87	769.067 MW
88	1529.47 MW
89	204.295 MW
90	2.81322 MW
91	70.6242 MW
92	685.542 MW
93	2399.01 MW
94	280.652 MW
95	219.652 MW
96	-11.5521 MW
97	-237.768 MW
98	26.0329 MW
99	66.1488 MW
100	58.526 MW
101	29.5644 MW
102	160.058 MW
103	44.526 MW
104	-173.474 MW
105	-342.392 MW
106	-0.530428 MW
107	401.004 MW
108	85.7356 MW
109	-26.5932 MW
110	401.004 MW
111	-85.7356 MW
112	145.3 MW
113	-91.2725 MW
114	-59.1683 MW
115	32.1042 MW
116	-84.1 MW
117	28.1 MW
118	11.5717 MW
119	-76.8118 MW
120	134.86 MW
121	-18.6286 MW
122	14 MW
123	-356.787 MW
124	118.649 MW
125	141.621 MW
126	361.78 MW
127	50.5 MW
128	17.1296 MW
129	-226.873 MW
130	139.202 MW
131	11.1 MW
132	29.6 MW
133	55.7258 MW
134	-282.599 MW
135	58.0745 MW
136	111.202 MW
137	-285.972 MW
138	952.366 MW
139	863.076 MW
140	-96.1822 MW
141	96.1822 MW
142	-103.256 MW
143	-7.82602 MW
144	14.9 MW
145	32.689 MW
146	28.3229 MW
147	39.0039 MW
148	32.4834 MW
149	133.751 MW
150	82.6637 MW
151	148.366 MW
152	4.87246 MW
153	59.8874 MW
154	61.3363 MW
155	-22.5 MW
156	5.08386 MW
157	23.0932 MW
158	-105.83 MW
159	-51.4358 MW
160	71.9015 MW
161	98.0461 MW
162	64.9713 MW
163	63.7748 MW
164	28.1636 MW
165	52.7748 MW
166	2.4 MW
167	39.8054 MW
168	87.1247 MW
169	24.7 MW
170	-45.6147 MW
171	23.3868 MW
172	63.4294 MW
173	76.5562 MW
174	56.9562 MW
175	102.186 MW
176	-476.562 MW
177	-476.562 MW
178	310.026 MW
179	-310.026 MW
180	739.822 MW
181	739.822 MW
182	631.44 MW
183	58.6592 MW
184	35.6235 MW
185	531.35 MW
186	-0.220889 MW
187	100.31 MW
188	100 MW
189	35.6235 MW
190	-43.1458 MW
191	-120.995 MW
192	-541.521 MW
193	121.284 MW
194	-242.429 MW
195	276.45 MW
196	-778.224 MW
197	-912.164 MW
198	-589.571 MW
199	-522.839 MW
200	983.285 MW
201	731.009 MW
202	-525.843 MW
203	-507.225 MW
204	-279.737 MW
205	-506.002 MW
206	-412.035 MW
207	-95.1905 MW
208	-436.878 MW
209	-152.694 MW
210	0 MW
211	597.838 MW
212	-1130.35 MW
213	230.153 MW
214	438.29 MW
215	407.154 MW
216	1392 MW
217	74.9992 MW
218	-1397.79 MW
219	98.8478 MW
220	387.453 MW
221	663.6 MW
222	-241.706 MW
223	-38.0306 MW
224	-410.906 MW
225	-60.4222 MW
226	-405.684 MW
227	83.7653 MW
228	317.873 MW
229	-296.958 MW
230	-544.216 MW
231	-656.527 MW
232	333.089 MW
233	393.611 MW
234	20.8175 MW
235	-184.183 MW
236	800 MW
237	-67.4272 MW
238	-98.1737 MW
239	-49.2041 MW
240	-69.8401 MW
241	-75.807 MW
242	56.5175 MW
243	-68.5118 MW
244	59.616 MW
245	-322.288 MW
246	167.614 MW
247	26.5932 MW
248	166.97 MW
249	216.209 MW
250	-25.5601 MW
251	-78.0897 MW
252	-100.796 MW
253	272.651 MW
254	-105.223 MW
255	103.139 MW
256	50.07 MW
257	230.153 MW
258	-110.805 MW
259	3.14401 MW
260	66.7287 MW
261	-43.2713 MW
262	-26.7287 MW
263	18.2713 MW
264	31.856 MW
265	250.127 MW
266	318.263 MW
267	454.559 MW
268	276.45 MW
269	568 MW
270	-653 MW
271	-317.873 MW
272	-653 MW
273	653 MW
274	138.39 MW
275	16.0915 MW
276	-21.774 MW
277	-37.842 MW
278	-43.4033 MW
279	-66.1633 MW
280	-54.7848 MW
281	2.99548 MW
282	58.8257 MW
283	142.044 MW
284	20.9346 MW
285	-203.151 MW
286	-703.447 MW
287	-174.831 MW
288	695.984 MW
289	536.753 MW
290	-15.8569 MW
291	4.12537 MW
292	4.73155 MW
293	-17.2354 MW
294	524.665 MW
295	33.1 MW
296	-191.771 MW
297	297.229 MW
298	-991.771 MW
299	3.61695 MW
300	7.04309 MW
301	-10.66 MW
302	838.666 MW
303	113.7 MW
304	-78.6174 MW
305	941.694 MW
306	-23.5243 MW
307	6.02119 MW
308	11.12 MW
309	-110.443 MW
310	43.9184 MW
311	16.2344 MW
312	103.441 MW
313	-33.8746 MW
314	110.346 MW
315	76.911 MW
316	20.4127 MW
317	-55.4127 MW
318	-65.6859 MW
319	59.0986 MW
320	18.1683 MW
321	-21.7656 MW
322	61.4409 MW
323	-42.7117 MW
324	-11.12 MW
325	-35.6686 MW
326	-81.1855 MW
327	33.517 MW
328	265.885 MW
329	187.267 MW
330	199.771 MW
331	222.627 MW
332	-44.856 MW
333	362.894 MW
334	186.894 MW
335	63.5134 MW
336	-174.254 MW
337	197.635 MW
338	-168.941 MW
339	-101.454 MW
340	1437.16 MW
341	622.989 MW
342	-484.689 MW
343	1001.99 MW
344	-136.048 MW
345	573.989 MW
346	1699 MW
347	-1298.01 MW
348	-1298.01 MW
349	-322.68 MW
350	-178.783 MW
351	-16.1405 MW
352	-28.0767 MW
353	-257.547 MW
354	638.567 MW
355	-1909.73 MW
356	190.567 MW
357	166.736 MW
358	-700 MW
359	-66.8132 MW
360	-102.264 MW
361	675.43 MW
362	-650 MW
363	33.1 MW
