
****************** INTERNAL TRANSMISSION LINES FLOWS *********************
TRANSMISSION LINE ID	MW FLOW
1	-56.2919 MW
2	420.708 MW
3	567 MW
4	-174.016 MW
5	300.685 MW
6	192.299 MW
7	723 MW
8	-165.867 MW
9	234.681 MW
10	20.6099 MW
11	778.71 MW
12	657.826 MW
13	-165.867 MW
14	-28.384 MW
15	39.3241 MW
16	-180.685 MW
17	-182.204 MW
18	625.955 MW
19	51.4958 MW
20	151.417 MW
21	-56.6759 MW
22	-28.5811 MW
23	50.693 MW
24	148.833 MW
25	265.594 MW
26	165.387 MW
27	398.284 MW
28	90.8326 MW
29	-8.58339 MW
30	161.132 MW
31	217.205 MW
32	-103.8 MW
33	-41.147 MW
34	-46.4094 MW
35	-326.999 MW
36	343.795 MW
37	6.82939 MW
38	13.7805 MW
39	415.059 MW
40	-36.4735 MW
41	16.1678 MW
42	-319.843 MW
43	-117.473 MW
44	38.161 MW
45	128.232 MW
46	228.545 MW
47	115.8 MW
48	473.804 MW
49	83.2322 MW
50	52.8322 MW
51	2.4 MW
52	54.3392 MW
53	-1.01835 MW
54	-11.0819 MW
55	-97.2389 MW
56	54.3392 MW
57	60.1547 MW
58	35.7337 MW
59	67.6962 MW
60	-43.2752 MW
61	-60.1547 MW
62	182.023 MW
63	128.843 MW
64	121.835 MW
65	-538.182 MW
66	61.173 MW
67	70.0455 MW
68	-214.537 MW
69	-112.677 MW
70	138.682 MW
71	600 MW
72	600 MW
73	71.761 MW
74	277.219 MW
75	-251.198 MW
76	-200.103 MW
77	604.559 MW
78	78.4766 MW
79	-5.05079 MW
80	26.2564 MW
81	112.261 MW
82	138.377 MW
83	-92.2214 MW
84	50.4187 MW
85	-149.349 MW
86	-254.436 MW
87	291.524 MW
88	455.21 MW
89	48.3108 MW
90	32.0666 MW
91	25.7102 MW
92	320.954 MW
93	1202.33 MW
94	115.851 MW
95	54.8511 MW
96	-42.7436 MW
97	-144.965 MW
98	-49.2528 MW
99	62.8612 MW
100	31.7715 MW
101	33.2829 MW
102	212.307 MW
103	17.7715 MW
104	-200.229 MW
105	-254.436 MW
106	-23.4823 MW
107	450.711 MW
108	112.494 MW
109	107.263 MW
110	450.711 MW
111	-112.494 MW
112	145.3 MW
113	-31.3501 MW
114	-49.2879 MW
115	-17.9378 MW
116	-84.1 MW
117	28.1 MW
118	-3.8027 MW
119	-28.1927 MW
120	168.105 MW
121	-39.069 MW
122	14 MW
123	-210.315 MW
124	19.2394 MW
125	-12.8061 MW
126	30.7089 MW
127	50.5 MW
128	-51.2263 MW
129	-271.98 MW
130	23.7094 MW
131	11.1 MW
132	29.6 MW
133	94.184 MW
134	-366.164 MW
135	2.02773 MW
136	-4.29059 MW
137	29.4458 MW
138	245.648 MW
139	180.116 MW
140	-33.549 MW
141	33.549 MW
142	-17.3792 MW
143	-31.0698 MW
144	14.9 MW
145	-3.5987 MW
146	-24.174 MW
147	-42.3639 MW
148	52.561 MW
149	109.827 MW
150	94.0301 MW
151	155.544 MW
152	-11.3377 MW
153	52.4268 MW
154	55.7789 MW
155	-49.616 MW
156	9.49544 MW
157	24.469 MW
158	-78.5725 MW
159	-54.6429 MW
160	33.2975 MW
161	49.9668 MW
162	61.9222 MW
163	33.3004 MW
164	12.4142 MW
165	22.3004 MW
166	2.4 MW
167	57.4623 MW
168	60.8955 MW
169	24.7 MW
170	-16.8103 MW
171	-5.86665 MW
172	25.2745 MW
173	31.052 MW
174	11.452 MW
175	18.5265 MW
176	-220.083 MW
177	-220.083 MW
178	161.28 MW
179	-161.28 MW
180	127.234 MW
181	127.234 MW
182	33.4518 MW
183	55.0035 MW
184	24.6784 MW
185	691.042 MW
186	259.914 MW
187	100.31 MW
188	100 MW
189	24.6784 MW
190	-13.8491 MW
191	-52.7092 MW
192	-382.624 MW
193	21.9612 MW
194	-113.81 MW
195	145.712 MW
196	-605.203 MW
197	-495.252 MW
198	-339.89 MW
199	-352.735 MW
200	476.007 MW
201	336.063 MW
202	-287.296 MW
203	-309.621 MW
204	-257.904 MW
205	-308.527 MW
206	-368.618 MW
207	58.9972 MW
208	-383.314 MW
209	43.4232 MW
210	-625.955 MW
211	419.227 MW
212	-778.71 MW
213	171.424 MW
214	396.654 MW
215	364.252 MW
216	698.825 MW
217	66.4919 MW
218	-726.349 MW
219	-55.7252 MW
220	190.541 MW
221	693.954 MW
222	-154.62 MW
223	-103.284 MW
224	-323.82 MW
225	91.5184 MW
226	-470.538 MW
227	-356.171 MW
228	379.55 MW
229	104.826 MW
230	-223.013 MW
231	-54.5229 MW
232	365.261 MW
233	392.082 MW
234	-8.27608 MW
235	-213.276 MW
236	800 MW
237	-189.731 MW
238	-230.365 MW
239	-103.547 MW
240	-122.687 MW
241	-124.966 MW
242	27.4239 MW
243	-94.0664 MW
244	59.9632 MW
245	-424.717 MW
246	137.852 MW
247	-107.263 MW
248	199.24 MW
249	222.113 MW
250	-32.3082 MW
251	-39.1401 MW
252	-121.364 MW
253	232.198 MW
254	-128.008 MW
255	105.538 MW
256	53.5753 MW
257	171.424 MW
258	-89.2546 MW
259	85.2263 MW
260	77.7422 MW
261	-32.2578 MW
262	-37.7422 MW
263	38.676 MW
264	-50.2263 MW
265	188.45 MW
266	-30.1174 MW
267	190.351 MW
268	145.712 MW
269	568 MW
270	-653 MW
271	-379.55 MW
272	-653 MW
273	653 MW
274	96.7544 MW
275	0.678259 MW
276	-35.4543 MW
277	-24.5088 MW
278	-49.2689 MW
279	-89.044 MW
280	-81.4751 MW
281	-5.94213 MW
282	85.6459 MW
283	185.531 MW
284	26.3668 MW
285	-162.698 MW
286	-333.835 MW
287	-240.084 MW
288	370.013 MW
289	259.191 MW
290	22.4226 MW
291	-13.2391 MW
292	-16.1835 MW
293	38.7826 MW
294	580.683 MW
295	33.1 MW
296	345.501 MW
297	-204.812 MW
298	-454.499 MW
299	-23.0892 MW
300	28.2563 MW
301	-5.16707 MW
302	131.948 MW
303	113.7 MW
304	-27.4461 MW
305	207.562 MW
306	-55.572 MW
307	-17.1909 MW
308	39.6737 MW
309	-113.605 MW
310	15.0325 MW
311	15.0509 MW
312	94.2435 MW
313	-51.2391 MW
314	104.749 MW
315	68.0511 MW
316	2.97524 MW
317	-37.9752 MW
318	-33.3995 MW
319	9.37471 MW
320	8.28795 MW
321	-22.9491 MW
322	52.2435 MW
323	-24.0384 MW
324	-39.6737 MW
325	4.21796 MW
326	2.47348 MW
327	-10.2555 MW
328	-3.82267 MW
329	-31.2688 MW
330	293.723 MW
331	337.448 MW
332	-65.7255 MW
333	259.18 MW
334	83.1795 MW
335	34.3405 MW
336	-68.5918 MW
337	17.4308 MW
338	-78.5311 MW
339	18.1283 MW
340	192.388 MW
341	317.43 MW
342	-453.093 MW
343	696.43 MW
344	-50.6474 MW
345	268.43 MW
346	659.687 MW
347	-564.257 MW
348	-564.257 MW
349	-219.489 MW
350	-225.671 MW
351	18.9962 MW
352	-16.3248 MW
353	-360.454 MW
354	536.037 MW
355	-879.105 MW
356	88.0371 MW
357	49.7399 MW
358	-700 MW
359	61.9353 MW
360	-219.26 MW
361	675.43 MW
362	-650 MW
363	33.1 MW
364	49.8249 MW
365	100.915 MW
366	82.8852 MW
367	36.9998 MW
368	82.8852 MW
369	11.4023 MW
370	14.4223 MW
371	17.2875 MW
372	71.6253 MW
373	52 MW
374	23 MW
375	-184.334 MW
376	24.83 MW
377	-55.0328 MW
378	-29.4164 MW
379	-29.4164 MW
380	7.18 MW
381	1.35 MW
382	7.93667 MW
383	7.93667 MW
384	6.91667 MW
385	1.84 MW
386	1.39 MW
387	1.89 MW
388	1.55 MW
389	1.66 MW
