

Initial Value of the Tolerance to kick-start the APP outer iterations= 1000


APP Itearion Count	APP Tolerance
1	2.2441e-06
2	6.94287e-07
3	8.46793e-08
4	1.83574e-07
5	9.97672e-08
6	1.24704e-07
7	1.38263e-07
8	2.23136e-07
9	3.97415e-07
10	3.43027e-07
11	3.97874e-07
12	5.68063e-07
13	7.95705e-07
14	9.94829e-07
15	1.37566e-06
16	1.82231e-06
17	2.52784e-06
18	3.51124e-06
19	4.8859e-06
20	6.79846e-06
21	9.48913e-06
22	1.33026e-05
23	1.866e-05
24	2.62161e-05
25	3.68792e-05
26	5.19097e-05
27	7.31911e-05
28	0.00010321
29	0.000145709
30	0.000205795
31	0.000290858
32	0.000411263
33	0.000581784
34	0.000823411
35	0.0011657
36	0.00165085
37	0.00233862
38	0.00331367
39	0.00469635
40	0.00665725
41	0.00943862
42	0.0133841
43	0.0189815
44	0.0269232
45	0.0381919
46	0.0541825
47	0.0768752
48	0.109081
49	0.154789
50	0.219666
51	0.311752
52	0.442465
53	0.628014
54	0.891413
55	1.26534
56	1.7056
57	2.1109
58	2.65581
59	3.4136
60	4.40283
61	5.68511
62	7.34457
63	9.49169
64	12.2137
65	15.3896
66	19.462
67	21.1583
68	21.1934
69	21.2909
70	21.4654
71	21.7158
72	22.0702
73	22.571
74	23.2762
75	24.2626
76	25.6181
77	26.0434
78	28.9199
79	31.0485
80	32.191
81	32.9537
82	32.9202
83	32.928
84	32.9367
85	32.9457
86	32.956
87	32.9678
88	32.9782
89	32.9878
90	32.9965
91	33.0056
92	33.0143
93	33.0232
94	33.0302
95	33.038
96	33.0466
97	33.056
98	33.0653
99	33.0734
100	33.0828

Execution time (s): 6.5538
