
The Optimal Objective value (Generation Dispatch cost) is: 111443

****************** GENERATORS' POWER GENERATION LEVELS (MW) *********************
GENERATOR ID	GENERATOR MW
1	39.0028 MW
2	6.10948 MW
3	100 MW
4	3.6106e-10 MW
5	71.4414 MW
6	137.661 MW
7	100 MW
8	49.1583 MW
9	70.4999 MW
10	1.87033e-09 MW
11	135.631 MW
12	132.892 MW
13	15.7434 MW
14	8.81445 MW
15	35.8686 MW
16	50.6814 MW
17	51.3226 MW
18	14.3159 MW
19	8.00851e-09 MW
20	16.343 MW
21	176.183 MW
22	50.0268 MW
23	55.1579 MW
24	47.9396 MW
25	185.659 MW
26	161.388 MW
27	32.9585 MW
28	234.352 MW
29	300.729 MW
30	329.481 MW
31	2.73276e-09 MW
32	2.20123e-09 MW
33	2.62823e-09 MW
34	21.0162 MW
35	5.76731e-09 MW
36	1.39571e-09 MW
37	363.042 MW
38	8.35848e-10 MW
39	2.5464 MW
40	332.11 MW
41	8.34801e-10 MW
42	1.21679e-09 MW
43	4.00561e-09 MW
44	2.05959e-09 MW
45	223.926 MW
46	36.7957 MW
47	4.81814e-09 MW
48	6.07338e-09 MW
49	12.3078 MW
50	1.20968e-08 MW
51	35.0959 MW
52	3.39389 MW
53	28.4041 MW
54	8.33428e-10 MW
Finished writing Power Generation
