
****************** INTERNAL NODE VOLTAGE PHASE ANGLE VALUES *********************
NODE ID	CONTINGENCY SCENARIO	VOLTAGE PHASE ANGLE
1	1	2.95149
2	1	2.96604
3	1	2.96376
4	1	3.02277
5	1	3.0212
6	1	3.01214
7	1	3.00027
8	1	3.04762
9	1	3.07812
10	1	3.11032
11	1	2.98809
12	1	2.98732
13	1	2.96983
14	1	2.98126
15	1	2.99184
16	1	2.9797
17	1	3.00827
18	1	3.00217
19	1	2.99505
20	1	2.9755
21	1	2.9766
22	1	2.99144
23	1	3.03166
24	1	3.03038
25	1	3.11097
26	1	3.13298
27	1	2.95664
28	1	2.93914
29	1	2.93588
30	1	3.04707
31	1	2.94267
32	1	2.95761
33	1	2.98462
34	1	3.00696
35	1	3.00503
36	1	3.00757
37	1	3.00905
38	1	3.04655
39	1	2.97592
40	1	2.97335
41	1	2.96233
42	1	2.98171
43	1	2.97682
44	1	2.97699
45	1	2.99147
46	1	3.02639
47	1	3.05495
48	1	3.05445
49	1	3.07204
50	1	3.04422
51	1	3.00858
52	1	2.99499
53	1	2.98664
54	1	3.00846
55	1	3.01107
56	1	3.00969
57	1	3.01742
58	1	3.00411
59	1	3.05539
60	1	3.10049
61	1	3.11399
62	1	3.1056
63	1	3.09399
64	1	3.11399
65	1	3.14419
66	1	3.15421
67	1	3.11641
68	1	3.13315
69	1	3.13586
70	1	3.02501
71	1	3.02547
72	1	3.02782
73	1	3.02547
74	1	3.00385
75	1	3.01386
76	1	2.97721
77	1	3.04786
78	1	3.04171
79	1	3.04694
80	1	3.08946
81	1	3.11772
82	1	3.01615
83	1	3.01559
84	1	3.02337
85	1	3.03419
86	1	3.01148
87	1	3.01675
88	1	3.06079
89	1	3.11352
90	1	3.06278
91	1	3.06288
92	1	3.06302
93	1	3.04153
94	1	3.03176
95	1	3.019
96	1	3.02588
97	1	3.05
98	1	3.05206
99	1	3.06184
100	1	3.05093
101	1	3.03907
102	1	3.05319
103	1	3.01032
104	1	2.96881
105	1	2.95805
106	1	2.95289
107	1	2.93598
108	1	2.95233
109	1	2.95056
110	1	2.95198
111	1	2.9774
112	1	2.93598
113	1	3.01385
114	1	2.94751
115	1	2.94663
116	1	3.13315
117	1	2.95932
118	1	2.98824
Finished writing Internal Node Voltage Phase Angles
