
The Optimal Objective value (Generation Dispatch cost) is: 110343

****************** GENERATORS' POWER GENERATION LEVELS (MW) *********************
GENERATOR ID	GENERATOR MW
1	7.52607 MW
2	100 MW
3	92.2858 MW
4	7.81088e-10 MW
5	100 MW
6	91.9664 MW
7	64.4724 MW
8	62.359 MW
9	50.5777 MW
10	2.23857e-09 MW
11	136.2 MW
12	157.518 MW
13	2.58652e-09 MW
14	6.40496 MW
15	3.26812e-09 MW
16	57.2626 MW
17	58.1945 MW
18	12.5673 MW
19	1.18285e-08 MW
20	16.4277 MW
21	177.097 MW
22	50.0454 MW
23	55.2488 MW
24	48.1959 MW
25	185.167 MW
26	161.388 MW
27	32.2409 MW
28	240.989 MW
29	304.448 MW
30	330.568 MW
31	4.09426e-09 MW
32	2.85489e-09 MW
33	3.821e-09 MW
34	27.3586 MW
35	1.02783e-08 MW
36	2.19383e-09 MW
37	364.643 MW
38	1.28532e-09 MW
39	2.53718 MW
40	329.753 MW
41	1.27721e-09 MW
42	1.84929e-09 MW
43	5.80634e-09 MW
44	3.07802e-09 MW
45	221.755 MW
46	36.1812 MW
47	6.05231e-09 MW
48	7.16867e-09 MW
49	6.69559 MW
50	7.30161e-09 MW
51	33.6814 MW
52	8.87446e-09 MW
53	46.2463 MW
54	1.32983e-09 MW
Finished writing Power Generation
