
****************** INTERNAL TRANSMISSION LINES FLOWS *********************
TRANSMISSION LINE ID	CONTINGENCY SCENARIO	MW FLOW
1	Base-Case	-14.5547 MW
2	Base-Case	-28.9193 MW
3	Base-Case	-34.5547 MW
4	Base-Case	-53.1918 MW
5	Base-Case	-14.7275 MW
6	Base-Case	19.603 MW
7	Base-Case	50.397 MW
8	Base-Case	16.7891 MW
9	Base-Case	98.9245 MW
10	Base-Case	48.5466 MW
11	Base-Case	57.0749 MW
12	Base-Case	38.0749 MW
13	Base-Case	-100 MW
14	Base-Case	1.07553 MW
15	Base-Case	-100 MW
16	Base-Case	3.95065 MW
17	Base-Case	24.9931 MW
18	Base-Case	8.57466 MW
19	Base-Case	9.13514 MW
20	Base-Case	20 MW
21	Base-Case	-9.00686 MW
22	Base-Case	-5.42534 MW
23	Base-Case	-37.6128 MW
24	Base-Case	-8.14566 MW
25	Base-Case	5.79862 MW
26	Base-Case	-15.8649 MW
27	Base-Case	12.0886 MW
28	Base-Case	100 MW
29	Base-Case	41.9716 MW
30	Base-Case	-18.5377 MW
31	Base-Case	14.4476 MW
32	Base-Case	16.7036 MW
33	Base-Case	-4.82395 MW
34	Base-Case	-1.29637 MW
35	Base-Case	-15.2964 MW
36	Base-Case	-25.2964 MW
37	Base-Case	2.6109 MW
38	Base-Case	-99.1372 MW
39	Base-Case	64.23 MW
40	Base-Case	1.30545 MW
41	Base-Case	1.30545 MW
42	Base-Case	57.6221 MW
43	Base-Case	94.6849 MW
44	Base-Case	99.8955 MW
45	Base-Case	20.4629 MW
46	Base-Case	-1.28414 MW
47	Base-Case	13.5061 MW
48	Base-Case	3.46294 MW
49	Base-Case	-20.5371 MW
50	Base-Case	0.970958 MW
51	Base-Case	-15.1605 MW
52	Base-Case	-27.7085 MW
53	Base-Case	16.4938 MW
54	Base-Case	-17.2014 MW
55	Base-Case	-2.27971 MW
56	Base-Case	-22.2119 MW
57	Base-Case	17.9301 MW
58	Base-Case	-24.9148 MW
59	Base-Case	-8.08506 MW
60	Base-Case	100 MW
61	Base-Case	31.2519 MW
62	Base-Case	21.2497 MW
63	Base-Case	-99.029 MW
64	Base-Case	4.25193 MW
65	Base-Case	22.6387 MW
66	Base-Case	-4.56977 MW
67	Base-Case	-14.3613 MW
68	Base-Case	-27.9655 MW
69	Base-Case	-27.9655 MW
70	Base-Case	-0.0698826 MW
71	Base-Case	-16.0699 MW
72	Base-Case	-25.7528 MW
73	Base-Case	-43.3171 MW
74	Base-Case	-22.482 MW
