
The Optimal Objective value (Generation Dispatch cost) is: 110215

****************** GENERATORS' POWER GENERATION LEVELS (MW) *********************
GENERATOR ID	GENERATOR MW
1	68.1639 MW
2	68.3664 MW
3	68.2215 MW
4	3.26865e-11 MW
5	100 MW
6	90.7818 MW
7	61.6227 MW
8	61.4292 MW
9	48.8017 MW
10	3.43635e-11 MW
11	136.37 MW
12	157.72 MW
13	3.8951e-11 MW
14	6.39271 MW
15	4.92438e-11 MW
16	56.1238 MW
17	56.9972 MW
18	15.0398 MW
19	2.14526e-10 MW
20	16.6736 MW
21	179.949 MW
22	50.092 MW
23	55.2785 MW
24	48.7514 MW
25	183.561 MW
26	161.388 MW
27	30.0994 MW
28	258.213 MW
29	314.426 MW
30	338.315 MW
31	6.8238e-11 MW
32	4.50046e-11 MW
33	6.28897e-11 MW
34	38.314 MW
35	1.74192e-10 MW
36	3.25649e-11 MW
37	361.266 MW
38	1.8682e-11 MW
39	2.4803 MW
40	323.417 MW
41	1.81428e-11 MW
42	2.41654e-11 MW
43	4.88268e-11 MW
44	3.38928e-11 MW
45	202.52 MW
46	32.1459 MW
47	3.61537e-11 MW
48	3.61537e-11 MW
49	3.61537e-11 MW
50	3.61537e-11 MW
51	28.9313 MW
52	3.61537e-11 MW
53	46.15 MW
54	2.18311e-11 MW
Finished writing Power Generation
