
****************** INTERNAL TRANSMISSION LINES FLOWS *********************
TRANSMISSION LINE ID	CONTINGENCY SCENARIO	MW FLOW
1	Base-Case	-30.7533 MW
2	Base-Case	77.7676 MW
3	Base-Case	38.9514 MW
4	Base-Case	53.0064 MW
5	Base-Case	66.2467 MW
6	Base-Case	37.9787 MW
7	Base-Case	43.5278 MW
8	Base-Case	5.13243 MW
9	Base-Case	1.17006 MW
10	Base-Case	13.8282 MW
11	Base-Case	17.848 MW
12	Base-Case	-7.86757 MW
13	Base-Case	-1.38046 MW
14	Base-Case	-25.6109 MW
15	Base-Case	-60.2511 MW
16	Base-Case	58.8706 MW
17	Base-Case	100 MW
18	Base-Case	18.9515 MW
19	Base-Case	24.8331 MW
20	Base-Case	2.5168 MW
21	Base-Case	13.195 MW
22	Base-Case	19.5035 MW
23	Base-Case	-19.3305 MW
24	Base-Case	33.282 MW
25	Base-Case	-0.287395 MW
26	Base-Case	10.1743 MW
27	Base-Case	14.9462 MW
28	Base-Case	23.1441 MW
29	Base-Case	4.04862 MW
30	Base-Case	-11.0064 MW
31	Base-Case	8.68886 MW
32	Base-Case	-22.5586 MW
33	Base-Case	31.9214 MW
34	Base-Case	-42.7319 MW
35	Base-Case	40.9208 MW
36	Base-Case	34.0049 MW
37	Base-Case	4.4762 MW
38	Base-Case	1.1762 MW
39	Base-Case	1.1238 MW
40	Base-Case	-1.1238 MW
41	Base-Case	8.23224 MW
42	Base-Case	-9.35604 MW
43	Base-Case	1.93224 MW
44	Base-Case	6.93859 MW
45	Base-Case	6.66782 MW
46	Base-Case	-11.6742 MW
47	Base-Case	7.30641 MW
48	Base-Case	-11.6742 MW
49	Base-Case	-20.9742 MW
50	Base-Case	-25.5742 MW
51	Base-Case	16.2965 MW
52	Base-Case	3.70641 MW
53	Base-Case	-2.09359 MW
54	Base-Case	3.8 MW
55	Base-Case	7.49359 MW
56	Base-Case	-7.49359 MW
57	Base-Case	-13.4936 MW
58	Base-Case	-15.3132 MW
59	Base-Case	1.81965 MW
60	Base-Case	-18.0731 MW
61	Base-Case	2.75984 MW
62	Base-Case	-22.0049 MW
63	Base-Case	-13.7932 MW
64	Base-Case	-5.63097 MW
65	Base-Case	2.75984 MW
66	Base-Case	1.81965 MW
67	Base-Case	9.36085 MW
68	Base-Case	-12.9462 MW
69	Base-Case	-7.45967 MW
70	Base-Case	-2.26085 MW
71	Base-Case	-34.0049 MW
72	Base-Case	40.9208 MW
73	Base-Case	11.2208 MW
74	Base-Case	-2.57246 MW
75	Base-Case	5.71796 MW
76	Base-Case	-15.282 MW
77	Base-Case	11.3965 MW
78	Base-Case	-8.60354 MW
79	Base-Case	-12.7035 MW
80	Base-Case	-3.94016 MW
Finished writing Internal Transmission lines' MW Flows
