
****************** INTERNAL NODE VOLTAGE PHASE ANGLE VALUES *********************
NODE ID	CONTINGENCY SCENARIO	VOLTAGE PHASE ANGLE
1	1	2.95652
2	1	2.96345
3	1	2.95866
4	1	2.98808
5	1	2.99179
6	1	2.99582
7	1	2.98738
8	1	3.01796
9	1	3.03975
10	1	3.06276
11	1	2.97252
12	1	2.98005
13	1	2.9584
14	1	2.97657
15	1	2.99428
16	1	2.97292
17	1	3.00255
18	1	2.99704
19	1	2.99701
20	1	2.97741
21	1	2.97846
22	1	2.99325
23	1	3.0334
24	1	3.02984
25	1	3.10455
26	1	3.11719
27	1	2.97451
28	1	2.95479
29	1	2.94906
30	1	3.03135
31	1	2.955
32	1	2.97636
33	1	2.97926
34	1	2.9923
35	1	2.98948
36	1	2.99176
37	1	2.99477
38	1	3.03188
39	1	2.96237
40	1	2.96022
41	1	2.9491
42	1	2.96823
43	1	2.96234
44	1	2.96278
45	1	2.97735
46	1	3.01239
47	1	3.04121
48	1	3.04038
49	1	3.05795
50	1	3.03015
51	1	2.99453
52	1	2.98094
53	1	2.97261
54	1	2.99445
55	1	2.99705
56	1	2.99567
57	1	3.00338
58	1	2.99007
59	1	3.04165
60	1	3.08675
61	1	3.10025
62	1	3.09185
63	1	3.08025
64	1	3.10024
65	1	3.13043
66	1	3.13969
67	1	3.10225
68	1	3.12092
69	1	3.12431
70	1	3.01497
71	1	3.01625
72	1	3.02276
73	1	3.01625
74	1	2.9907
75	1	3.00232
76	1	2.96701
77	1	3.03959
78	1	3.0335
79	1	3.03884
80	1	3.08169
81	1	3.10707
82	1	3.01147
83	1	3.01178
84	1	3.0209
85	1	3.03238
86	1	3.00968
87	1	3.01496
88	1	3.06017
89	1	3.11375
90	1	3.06301
91	1	3.0631
92	1	3.06325
93	1	3.04121
94	1	3.03097
95	1	3.01692
96	1	3.02218
97	1	3.04432
98	1	3.04801
99	1	3.06116
100	1	3.05306
101	1	3.04038
102	1	3.05377
103	1	3.01568
104	1	2.97556
105	1	2.966
106	1	2.96094
107	1	2.94911
108	1	2.96148
109	1	2.96021
110	1	2.96294
111	1	2.98944
112	1	2.94911
113	1	3.00662
114	1	2.9659
115	1	2.96495
116	1	3.12092
117	1	2.95205
118	1	2.97733
1	2	1.57903e-14
2	2	0.0193443
3	2	0.0050868
4	2	0.0385913
5	2	0.0422239
6	2	0.046832
7	2	0.038623
8	2	0.0685293
9	2	0.090319
10	2	0.113323
11	2	0.023709
12	2	0.0316643
13	2	0.00955153
14	2	0.0280321
15	2	0.0453138
16	2	0.0243325
17	2	0.0535247
18	2	0.048027
19	2	0.0480049
20	2	0.0283812
21	2	0.0294235
22	2	0.0441943
23	2	0.0843063
24	2	0.0807474
25	2	0.155435
26	2	0.168055
27	2	0.0254335
28	2	0.00571598
29	2	5.24459e-13
30	2	0.0821781
31	2	0.00593765
32	2	0.0272906
33	2	0.0302309
34	2	0.043208
35	2	0.0403833
36	2	0.0426635
37	2	0.0456741
38	2	0.0827577
39	2	0.0132748
40	2	0.0111178
41	2	2.30589e-11
42	2	0.0191307
43	2	0.013243
44	2	0.0136707
45	2	0.0282437
46	2	0.0632844
47	2	0.0921042
48	2	0.0912665
49	2	0.108843
50	2	0.0810368
51	2	0.0454161
52	2	0.0318344
53	2	0.0234989
54	2	0.0453392
55	2	0.047943
56	2	0.0465627
57	2	0.0542681
58	2	0.040959
59	2	0.0925399
60	2	0.137635
61	2	0.151134
62	2	0.142743
63	2	0.131134
64	2	0.15113
65	2	0.181321
66	2	0.190579
67	2	0.153139
68	2	0.171811
69	2	0.175195
70	2	0.0658646
71	2	0.0671485
72	2	0.0736586
73	2	0.0671485
74	2	0.041589
75	2	0.0532148
76	2	0.0179052
77	2	0.0904807
78	2	0.0843888
79	2	0.0897257
80	2	0.13258
81	2	0.157956
82	2	0.0623619
83	2	0.0626661
84	2	0.0717873
85	2	0.0832676
86	2	0.0605697
87	2	0.0658509
88	2	0.111061
89	2	0.164638
90	2	0.113896
91	2	0.113992
92	2	0.114138
93	2	0.0921003
94	2	0.0818611
95	2	0.0678083
96	2	0.0730707
97	2	0.0952074
98	2	0.0989028
99	2	0.112049
100	2	0.103946
101	2	0.0912701
102	2	0.10466
103	2	0.0665691
104	2	0.0264535
105	2	0.0168855
106	2	0.0118312
107	2	1.81658e-10
108	2	0.0123725
109	2	0.0110997
110	2	0.0138279
111	2	0.0403253
112	2	1.82515e-10
113	2	0.0575828
114	2	0.0168235
115	2	0.0158768
116	2	0.171811
117	2	0.00366435
118	2	0.0282208
1	3	6.22441e-15
2	3	0.0119852
3	3	0.014073
4	3	0.0405288
5	3	0.0442979
6	3	0.0478921
7	3	0.0392925
8	3	0.0703667
9	3	0.0921563
10	3	0.11516
11	3	0.0244698
12	3	0.0316954
13	3	0.0103758
14	3	0.0283307
15	3	0.0463503
16	3	0.0247149
17	3	0.0546656
18	3	0.0491439
19	3	0.0490982
20	3	0.0295131
21	3	0.0305833
22	3	0.045386
23	3	0.0855503
24	3	0.0819968
25	3	0.156719
26	3	0.169371
27	3	0.0266571
28	3	0.00692743
29	3	0.00119805
30	3	0.0835687
31	3	0.00713099
32	3	0.028503
33	3	0.0313696
34	3	0.0444585
35	3	0.0416359
36	3	0.0439155
37	3	0.0469295
38	3	0.0840636
39	3	0.0145338
40	3	0.0123788
41	3	0.00126271
42	3	0.0203979
43	3	0.0145011
44	3	0.0149399
45	3	0.0295171
46	3	0.0645604
47	3	0.0933818
48	3	0.0925442
49	3	0.110121
50	3	0.0823154
51	3	0.0466953
52	3	0.0331137
53	3	0.0247787
54	3	0.0466193
55	3	0.0492232
56	3	0.0478428
57	3	0.0555476
58	3	0.0422385
59	3	0.0938217
60	3	0.138917
61	3	0.152416
62	3	0.144025
63	3	0.132416
64	3	0.152413
65	3	0.182605
66	3	0.19186
67	3	0.154421
68	3	0.173093
69	3	0.176474
70	3	0.0671365
71	3	0.0684185
72	3	0.0749188
73	3	0.0684185
74	3	0.0428642
75	3	0.0544909
76	3	0.0191827
77	3	0.0917601
78	3	0.0856684
79	3	0.0910054
80	3	0.13386
81	3	0.159238
82	3	0.0636417
83	3	0.0639459
84	3	0.0730672
85	3	0.0845475
86	3	0.0618496
87	3	0.0671308
88	3	0.112341
89	3	0.165918
90	3	0.115176
91	3	0.115272
92	3	0.115418
93	3	0.0933803
94	3	0.083141
95	3	0.0690883
96	3	0.0743507
97	3	0.0964875
98	3	0.100183
99	3	0.113329
100	3	0.105227
101	3	0.0925502
102	3	0.10594
103	3	0.0678492
104	3	0.0277336
105	3	0.0181655
106	3	0.0131112
107	3	0.00128004
108	3	0.0136525
109	3	0.0123797
110	3	0.0151079
111	3	0.0416054
112	3	0.00128004
113	3	0.0587329
114	3	0.0180407
115	3	0.0170947
116	3	0.173093
117	3	0.00369543
118	3	0.0294976
1	4	0.01998
2	4	1.09594e-14
3	4	0.0335468
4	4	0.0788019
5	4	0.082207
6	4	0.0885054
7	4	0.0809475
8	4	0.108907
9	4	0.130697
10	4	0.153701
11	4	0.0658814
12	4	0.0750531
13	4	0.051618
14	4	0.0709749
15	4	0.0870265
16	4	0.0671358
