
****************** INTERNAL TRANSMISSION LINES FLOWS *********************
TRANSMISSION LINE ID	CONTINGENCY SCENARIO	MW FLOW
1	Base-Case	-6.94481 MW
2	Base-Case	-5.05236 MW
3	Base-Case	-26.9448 MW
4	Base-Case	-30.6813 MW
5	Base-Case	-13.371 MW
6	Base-Case	-46.5118 MW
7	Base-Case	22.6213 MW
8	Base-Case	-7.44655 MW
9	Base-Case	98.0091 MW
10	Base-Case	28.2626 MW
11	Base-Case	40.5534 MW
12	Base-Case	21.5534 MW
13	Base-Case	-71.4414 MW
14	Base-Case	-26.5677 MW
15	Base-Case	-71.4414 MW
16	Base-Case	-38.4332 MW
17	Base-Case	19.317 MW
18	Base-Case	4.91853 MW
19	Base-Case	8.54732 MW
20	Base-Case	20 MW
21	Base-Case	-14.683 MW
22	Base-Case	-9.08147 MW
23	Base-Case	-18.9276 MW
24	Base-Case	-6.91376 MW
25	Base-Case	12.0769 MW
26	Base-Case	-16.4527 MW
27	Base-Case	10.9141 MW
28	Base-Case	74.2214 MW
29	Base-Case	30.4266 MW
30	Base-Case	-13.4996 MW
31	Base-Case	0.0724391 MW
32	Base-Case	16.7533 MW
33	Base-Case	1.90523 MW
34	Base-Case	-1.24669 MW
35	Base-Case	-15.2467 MW
36	Base-Case	-25.2467 MW
37	Base-Case	7.2271 MW
38	Base-Case	-88.9395 MW
39	Base-Case	49.4657 MW
40	Base-Case	3.61355 MW
41	Base-Case	3.61355 MW
42	Base-Case	33.0853 MW
43	Base-Case	79.7768 MW
44	Base-Case	99.8065 MW
45	Base-Case	23.0697 MW
46	Base-Case	-2.45104 MW
47	Base-Case	12.9015 MW
48	Base-Case	6.06971 MW
49	Base-Case	-17.9303 MW
50	Base-Case	-0.982593 MW
51	Base-Case	-21.6893 MW
52	Base-Case	-14.9045 MW
53	Base-Case	17.0985 MW
54	Base-Case	-10.9231 MW
55	Base-Case	2.02867 MW
56	Base-Case	-26.2651 MW
57	Base-Case	17.8231 MW
58	Base-Case	-22.3513 MW
59	Base-Case	-10.6488 MW
60	Base-Case	98.9676 MW
61	Base-Case	30.5634 MW
62	Base-Case	20.5673 MW
63	Base-Case	-99.9501 MW
64	Base-Case	3.56338 MW
65	Base-Case	22.8272 MW
66	Base-Case	-4.3806 MW
67	Base-Case	-14.1728 MW
68	Base-Case	-27.7767 MW
69	Base-Case	-27.7767 MW
70	Base-Case	-0.176913 MW
71	Base-Case	-16.1769 MW
72	Base-Case	-25.8424 MW
73	Base-Case	-43.3345 MW
74	Base-Case	-22.6935 MW
75	Base-Case	-14.8059 MW
76	Base-Case	-26.7829 MW
77	Base-Case	-29.9106 MW
78	Base-Case	-34.8059 MW
79	Base-Case	36.9762 MW
80	Base-Case	46.2967 MW
81	Base-Case	21.9733 MW
82	Base-Case	21.8223 MW
83	Base-Case	-88.9419 MW
84	Base-Case	-88.9419 MW
85	Base-Case	-20.4791 MW
86	Base-Case	19.9763 MW
87	Base-Case	23.098 MW
88	Base-Case	6.19873 MW
89	Base-Case	5.09799 MW
90	Base-Case	-17.902 MW
91	Base-Case	-3.68294 MW
92	Base-Case	-12.8116 MW
93	Base-Case	-20.5851 MW
94	Base-Case	9.14129 MW
95	Base-Case	-20.6663 MW
96	Base-Case	-7.97625 MW
97	Base-Case	5.80127 MW
98	Base-Case	-18.318 MW
99	Base-Case	-19.2377 MW
100	Base-Case	-31.1001 MW
101	Base-Case	-39.063 MW
102	Base-Case	99.9847 MW
103	Base-Case	-99.9951 MW
104	Base-Case	-9.10501 MW
105	Base-Case	22.3176 MW
106	Base-Case	-0.0127194 MW
107	Base-Case	-21.943 MW
108	Base-Case	-8.88592 MW
109	Base-Case	-99.9847 MW
110	Base-Case	-99.972 MW
111	Base-Case	-25.0167 MW
112	Base-Case	59.4465 MW
113	Base-Case	36.8859 MW
114	Base-Case	-9.14135 MW
115	Base-Case	68.5877 MW
116	Base-Case	-1.68961e-05 MW
117	Base-Case	86.0901 MW
118	Base-Case	99.9851 MW
119	Base-Case	83.8752 MW
120	Base-Case	-3.61355 MW
121	Base-Case	18.3475 MW
122	Base-Case	8.96975 MW
123	Base-Case	-3.61355 MW
124	Base-Case	-2.62834e-09 MW
125	Base-Case	-28.6363 MW
126	Base-Case	-18.6432 MW
127	Base-Case	51.9617 MW
128	Base-Case	-49.0383 MW
129	Base-Case	-18.9617 MW
130	Base-Case	49.1273 MW
131	Base-Case	-86.8031 MW
132	Base-Case	-40.0948 MW
133	Base-Case	32.9643 MW
134	Base-Case	-21.8727 MW
135	Base-Case	-60.8727 MW
136	Base-Case	68.5877 MW
137	Base-Case	32.6973 MW
138	Base-Case	40.0132 MW
139	Base-Case	31.1823 MW
140	Base-Case	9.96635 MW
141	Base-Case	-0.830087 MW
142	Base-Case	-20.2056 MW
143	Base-Case	-6.91007 MW
144	Base-Case	-13.92 MW
145	Base-Case	-17.9101 MW
146	Base-Case	18.4536 MW
147	Base-Case	-27.2486 MW
148	Base-Case	-47.035 MW
149	Base-Case	-2.5464 MW
150	Base-Case	-75.2486 MW
151	Base-Case	26.9904 MW
152	Base-Case	50.8947 MW
153	Base-Case	99.9999 MW
154	Base-Case	31.9418 MW
155	Base-Case	-0.114819 MW
156	Base-Case	-0.114838 MW
157	Base-Case	25.9881 MW
158	Base-Case	20.4286 MW
159	Base-Case	3.45485 MW
160	Base-Case	16.9555 MW
161	Base-Case	13.9881 MW
162	Base-Case	32.3796 MW
163	Base-Case	10.1155 MW
164	Base-Case	-38.0783 MW
165	Base-Case	-9.62044 MW
166	Base-Case	-25.0132 MW
167	Base-Case	-2.81766 MW
168	Base-Case	9.96634 MW
169	Base-Case	10.0446 MW
170	Base-Case	71.195 MW
171	Base-Case	37.9868 MW
172	Base-Case	40.225 MW
173	Base-Case	-11.9554 MW
174	Base-Case	25.3255 MW
175	Base-Case	30.5746 MW
176	Base-Case	29.0906 MW
177	Base-Case	25.3123 MW
178	Base-Case	9.24008 MW
179	Base-Case	9.22705 MW
180	Base-Case	6.41963 MW
181	Base-Case	6.46513 MW
182	Base-Case	4.41963 MW
183	Base-Case	-3.58041 MW
184	Base-Case	-35.0959 MW
185	Base-Case	21.6061 MW
186	Base-Case	9.09851 MW
2	1	-11.9972 MW
3	1	-20 MW
4	1	-34.3862 MW
5	1	-16.611 MW
6	1	-45.5217 MW
7	1	21.6311 MW
8	1	-8.5335 MW
9	1	98.5222 MW
10	1	27.1479 MW
11	1	39.4665 MW
12	1	20.4665 MW
13	1	-71.4414 MW
14	1	-27.0808 MW
15	1	-71.4414 MW
16	1	-40.5883 MW
17	1	19.3673 MW
18	1	5.13759 MW
19	1	8.79113 MW
20	1	20 MW
21	1	-14.6327 MW
22	1	-8.86241 MW
23	1	-18.7893 MW
24	1	-6.83029 MW
25	1	12.1245 MW
26	1	-16.2089 MW
27	1	10.8865 MW
28	1	73.8488 MW
29	1	30.446 MW
30	1	-13.4818 MW
31	1	0.044844 MW
32	1	16.7724 MW
33	1	1.94206 MW
34	1	-1.22763 MW
35	1	-15.2276 MW
36	1	-25.2276 MW
37	1	7.23345 MW
38	1	-88.9109 MW
39	1	49.4499 MW
40	1	3.61673 MW
41	1	3.61673 MW
42	1	33.0354 MW
43	1	79.7555 MW
44	1	99.8563 MW
45	1	23.0615 MW
46	1	-2.45964 MW
47	1	12.897 MW
48	1	6.06148 MW
49	1	-17.9385 MW
50	1	-1.07333 MW
51	1	-21.6781 MW
52	1	-14.9223 MW
53	1	17.103 MW
54	1	-10.8755 MW
55	1	2.032 MW
56	1	-26.2342 MW
57	1	17.8257 MW
58	1	-22.3546 MW
59	1	-10.6454 MW
60	1	98.8897 MW
61	1	30.5653 MW
62	1	20.5692 MW
63	1	-99.963 MW
64	1	3.56533 MW
65	1	22.8291 MW
66	1	-4.37866 MW
67	1	-14.1709 MW
68	1	-27.7748 MW
69	1	-27.7748 MW
70	1	-0.174279 MW
71	1	-16.1743 MW
72	1	-25.8412 MW
73	1	-43.3331 MW
74	1	-22.6928 MW
75	1	-14.8054 MW
76	1	-26.7825 MW
77	1	-29.9103 MW
78	1	-34.8054 MW
79	1	36.9766 MW
80	1	46.2972 MW
81	1	21.9737 MW
82	1	21.8227 MW
83	1	-88.9397 MW
84	1	-88.9397 MW
85	1	-20.4789 MW
86	1	19.9766 MW
87	1	23.0981 MW
88	1	6.19906 MW
89	1	5.09814 MW
90	1	-17.9019 MW
91	1	-3.68282 MW
92	1	-12.8112 MW
93	1	-20.5847 MW
94	1	9.14098 MW
95	1	-20.6659 MW
96	1	-7.97664 MW
97	1	5.80094 MW
98	1	-18.3176 MW
99	1	-19.2373 MW
100	1	-31.0998 MW
101	1	-39.0627 MW
102	1	99.9836 MW
103	1	-99.9947 MW
104	1	-9.10513 MW
105	1	22.3173 MW
106	1	-0.0136816 MW
107	1	-21.9432 MW
108	1	-8.88612 MW
109	1	-99.9836 MW
110	1	-99.9699 MW
111	1	-25.0206 MW
112	1	59.4397 MW
113	1	36.8861 MW
114	1	-9.14617 MW
115	1	68.5858 MW
116	1	-3.1475e-07 MW
117	1	86.0869 MW
118	1	99.9837 MW
119	1	83.8755 MW
120	1	-3.61673 MW
121	1	18.3489 MW
122	1	8.97147 MW
123	1	-3.61673 MW
