Gen#	Conn.	MW
1	1	140.574
2	2	25.1163
T.line#	From	To	From MW	To MW
1	1	2	-100	100
2	1	3	-40.591	40.591
3	2	3	-23.4858	23.4858
4	2	4	-27.5023	27.5023
5	2	5	-53.8399	53.8399
6	3	4	-18.9392	18.9392
7	4	5	-6.29325	6.29325
T.line#	Contingency Scenario	From	To	From MW	To MW
1	1	1	2	-100	100
1	2	1	2	-99.8957	99.8957
2	1	1	3	-40.5734	40.5734
2	2	1	3	-40.6785	40.6785
3	1	2	3	-5.21364	5.21364
3	2	2	3	-20.9537	20.9537
4	1	2	4	-40.1621	40.1621
4	2	2	4	-23.3666	23.3666
5	1	2	5	-59.7416	59.7416
5	2	2	5	-60.6928	60.6928
6	1	3	4	0	0
6	2	3	4	-16.6322	16.6322
7	1	4	5	-0.200549	0.200549
7	2	4	5	0	0
