Gen#	Conn.	MW
1	1	4.86026e-07
2	4	4.86018e-07
3	6	4.86018e-07
4	8	4.86017e-07
5	10	377.071
6	12	71.2243
7	15	4.86014e-07
8	18	4.86014e-07
9	19	4.86013e-07
10	24	4.8601e-07
11	25	184.346
12	26	263.112
13	27	4.86012e-07
14	31	5.86556
15	32	4.86012e-07
16	34	4.86011e-07
17	36	4.86011e-07
18	40	4.86009e-07
19	42	4.86007e-07
20	46	15.9209
21	49	170.94
22	54	40.2212
23	55	4.86004e-07
24	56	4.86005e-07
25	59	129.881
26	61	134.071
27	62	4.86004e-07
28	65	327.636
29	66	328.473
30	69	432.714
31	70	4.86005e-07
32	72	4.86007e-07
33	73	4.86005e-07
34	74	4.86004e-07
35	76	4.86003e-07
36	77	4.86003e-07
37	80	399.698
38	85	4.86e-07
39	87	3.35178
40	89	508.631
41	90	4.86e-07
42	91	4.86e-07
43	92	4.86e-07
44	99	4.86001e-07
45	100	211.162
46	103	33.5178
47	104	4.85999e-07
48	105	4.85999e-07
49	107	4.85999e-07
50	110	4.85999e-07
51	111	30.166
52	112	4.85999e-07
53	113	4.86014e-07
54	116	4.86004e-07
T.line#	From	To	From MW	To MW
1	1	2	11.9261	-11.9261
2	1	3	39.0691	-39.0691
3	2	12	31.9233	-31.9233
4	3	5	68.6844	-68.6844
5	3	12	9.38076	-9.38076
6	4	5	94.0418	-94.0418
7	4	11	-64.0447	64.0447
8	5	6	-86.4921	86.4921
9	8	5	-324.933	324.933
10	5	11	-75.7177	75.7177
11	6	7	-34.4949	34.4949
12	7	12	-15.497	15.497
13	8	9	377.073	-377.073
14	8	30	-52.1427	52.1427
15	9	10	377.072	-377.072
16	11	12	-38.6736	38.6736
17	11	13	-31.0923	31.0923
18	12	14	-13.3146	13.3146
19	12	16	-3.78429	3.78429
20	12	117	-19.9985	19.9985
21	13	15	2.90571	-2.90571
22	14	15	0.683439	-0.683439
23	15	17	98.6962	-98.6962
24	15	19	-6.8423	6.8423
25	15	33	1.73229	-1.73229
26	16	17	21.2138	-21.2138
27	17	18	-75.5913	75.5913
28	30	17	-217.674	217.674
29	17	31	-14.597	14.597
30	17	113	3.42144	-3.42144
31	18	19	-15.5928	15.5928
32	19	20	10.4066	-10.4066
33	19	34	12.156	-12.156
34	20	21	28.4056	-28.4056
35	21	22	42.4047	-42.4047
36	22	23	52.4038	-52.4038
37	23	24	20.2875	-20.2875
38	23	25	131.857	-131.857
39	23	32	-92.7417	92.7417
40	24	70	10.1408	-10.1408
41	24	72	10.1462	-10.1462
42	26	25	-72.7161	72.7161
43	25	27	-125.207	125.207
44	26	30	-190.397	190.397
45	27	28	-32.2794	32.2794
46	27	32	-11.0393	11.0393
47	27	115	-19.8897	19.8897
48	28	29	-15.2804	15.2804
49	29	31	8.71867	-8.71867
50	30	38	-24.8673	24.8673
51	31	32	31.2544	-31.2544
52	32	113	-3.42029	3.42029
53	32	114	-10.1085	10.1085
54	33	37	24.7314	-24.7314
55	34	36	-28.2395	28.2395
56	34	37	103.557	-103.557
57	34	43	-4.16367	4.16367
58	35	36	-2.75939	2.75939
59	35	37	35.7582	-35.7582
60	38	37	-204.791	204.791
61	37	39	-25.3448	25.3448
62	37	40	-15.4008	15.4008
63	38	65	179.924	-179.924
64	39	40	1.65492	-1.65492
65	40	41	-10.4984	10.4984
66	40	42	16.752	-16.752
67	41	42	26.5015	-26.5015
68	42	49	40.1268	-40.1268
69	42	49	40.1268	-40.1268
70	43	44	13.8358	-13.8358
71	44	45	29.8358	-29.8358
72	45	46	34.1713	-34.1713
73	45	49	48.6648	-48.6648
74	46	47	32.0204	-32.0204
75	46	48	14.2306	-14.2306
76	47	49	5.62499	-5.62499
77	47	69	60.396	-60.396
78	48	49	34.231	-34.231
79	49	50	-54.2577	54.2577
80	49	51	-67.05	67.05
81	49	54	-39.2683	39.2683
82	49	54	-38.9984	38.9984
83	49	66	116.856	-116.856
84	49	66	116.856	-116.856
85	49	69	50.6981	-50.6981
86	50	57	-37.2573	37.2573
87	51	52	-29.3622	29.3622
88	51	58	-20.6875	20.6875
89	52	53	-11.362	11.362
90	53	54	11.6381	-11.6381
91	54	55	-7.15358	7.15358
