Gen#	Conn.	MW
1	1	220.281
2	2	37.9128
T.line#	From	To	From MW	To MW
1	1	2	-149.107	149.107
2	1	5	-71.2111	71.2111
3	2	3	-69.8804	69.8804
4	2	4	-54.9325	54.9325
5	2	5	-40.6	40.6
6	3	4	24.2577	-24.2577
7	4	5	62.3913	-62.3913
8	4	7	-28.8319	28.8319
9	4	9	-16.5333	16.5333
10	5	6	-41.8876	41.8876
11	6	11	-6.28975	6.28975
12	6	12	-7.50602	7.50602
13	6	13	-16.9719	16.9719
14	7	8	0.011598	-0.011598
15	7	9	-28.8839	28.8839
16	9	10	-6.12193	6.12193
17	9	14	-9.8649	9.8649
18	10	11	2.83712	-2.83712
19	12	13	-1.45763	1.45763
20	13	14	-4.99348	4.99348
T.line#	Contingency Scenario	From	To	From MW	To MW
