Gen#	Conn.	MW
1	1	44.6518
2	2	58.173
3	13	22.2885
4	22	32.1401
5	23	15.7219
6	27	15.7215
T.line#	From	To	From MW	To MW
1	1	2	-21.9144	21.9144
2	1	3	-22.7471	22.7471
3	2	4	-18.8213	18.8213
4	2	5	-15.4518	15.4518
5	2	6	-24.1411	24.1411
6	3	4	-20.3576	20.3576
7	4	6	-23.8557	23.8557
8	4	12	-7.74248	7.74248
9	5	7	-15.4624	15.4624
10	6	7	-7.32471	7.32471
11	6	8	-26.0328	26.0328
12	6	9	-6.11532	6.11532
13	6	10	-3.50037	3.50037
14	6	28	-5.05889	5.05889
15	8	28	3.94999	-3.94999
16	9	10	-6.13664	6.13664
17	9	11	0.00538058	-0.00538058
18	10	17	-6.84355	6.84355
19	10	20	-8.03234	8.03234
20	10	21	4.97754	-4.97754
21	10	22	6.0252	-6.0252
22	12	13	22.2987	-22.2987
23	12	14	-5.05621	5.05621
24	12	15	-8.18886	8.18886
25	12	16	-5.62486	5.62486
26	14	15	1.13113	-1.13113
27	15	18	-6.82062	6.82062
28	15	23	7.94022	-7.94022
29	16	17	-2.1408	2.1408
30	18	19	-3.63579	3.63579
31	19	20	5.8479	-5.8479
32	21	22	22.4616	-22.4616
33	22	24	-3.66304	3.66304
34	23	24	-4.59366	4.59366
35	24	25	0.423253	-0.423253
36	25	26	-3.48912	3.48912
37	25	27	3.89697	-3.89697
38	28	27	-1.12677	1.12677
39	27	29	-6.05014	6.05014
40	27	30	-6.92325	6.92325
41	29	30	-3.66371	3.66371
T.line#	Contingency Scenario	From	To	From MW	To MW
