Gen#	Conn.	MW
1	1	138.972
2	2	78.1372
3	3	43.1255
4	6	78.1378
5	8	485.162
6	9	78.1382
7	12	334.222
T.line#	From	To	From MW	To MW
1	1	2	44.0838	-44.0838
2	1	15	-45.4223	45.4223
3	1	16	-34.5772	34.5772
4	1	17	-48.5168	48.5168
5	2	3	-31.43	31.43
6	3	4	17.4409	-17.4409
7	3	15	-51.177	51.177
8	4	5	18.528	-18.528
9	4	6	30.0288	-30.0288
10	4	18	-13.7307	13.7307
11	4	18	-17.7242	17.7242
12	5	6	31.3617	-31.3617
13	6	7	14.3684	-14.3684
14	6	8	43.2638	-43.2638
15	7	8	83.6664	-83.6664
16	7	29	-69.3802	69.3802
17	8	9	-208.434	208.434
18	9	10	-39.8214	39.8214
19	9	11	-49.1542	49.1542
20	9	12	-23.5998	23.5998
21	9	13	-38.1079	38.1079
22	9	55	-15.6591	15.6591
23	10	12	-2.44244	2.44244
24	10	51	-32.626	32.626
25	11	13	-24.6966	24.6966
26	11	41	-10.1138	10.1138
27	11	43	-14.6056	14.6056
28	12	13	17.3927	-17.3927
29	12	16	-8.14851	8.14851
30	12	17	6.79358	-6.79358
31	13	14	-12.9439	12.9439
32	13	15	14.0188	-14.0188
33	13	49	-28.9883	28.9883
34	14	15	33.1587	-33.1587
35	14	46	-35.9435	35.9435
36	15	45	-27.9022	27.9022
37	18	19	-4.59177	4.59177
38	19	20	-1.52323	1.52323
39	21	20	-0.572998	0.572998
40	21	22	0.419667	-0.419667
41	22	23	0.432867	-0.432867
42	22	38	-0.228668	0.228668
43	23	24	6.50264	-6.50264
44	24	25	-6.97901	6.97901
45	24	25	-6.70794	6.70794
46	24	26	19.9067	-19.9067
47	25	30	-7.64416	7.64416
48	26	27	19.7761	-19.7761
49	27	28	28.894	-28.894
50	28	29	33.2845	-33.2845
51	29	52	-19.3316	19.3316
52	30	31	-4.2495	4.2495
53	31	32	1.3498	-1.3498
54	32	33	-3.68128	3.68128
55	34	32	-6.3847	6.3847
56	34	35	6.23496	-6.23496
57	35	36	12.0086	-12.0086
58	36	37	12.9521	-12.9521
59	36	40	-1.16335	1.16335
60	37	38	14.9103	-14.9103
61	37	39	-2.16095	2.16095
62	38	44	16.3042	-16.3042
63	38	48	8.36179	-8.36179
64	38	49	3.64296	-3.64296
65	39	57	-2.30705	2.30705
66	40	56	-1.31548	1.31548
67	41	42	-9.35611	9.35611
68	41	43	12.8254	-12.8254
69	56	41	7.63886	-7.63886
70	56	42	2.47341	-2.47341
71	44	45	28.0816	-28.0816
72	46	47	-36.0789	36.0789
73	47	48	-6.52231	6.52231
74	48	49	1.6852	-1.6852
75	49	50	-5.95603	5.95603
76	50	51	14.8322	-14.8322
77	52	53	-14.6833	14.6833
78	53	54	5.07499	-5.07499
79	54	55	8.9887	-8.9887
80	57	56	4.188	-4.188
T.line#	Contingency Scenario	From	To	From MW	To MW
