Gen#	Conn.	MW
1	1	-nan
2	4	-nan
3	6	-nan
4	8	-nan
5	10	-nan
6	12	-nan
7	15	-nan
8	18	-nan
9	19	-nan
10	24	-nan
11	25	-nan
12	26	-nan
13	27	-nan
14	31	-nan
15	32	-nan
16	34	-nan
17	36	-nan
18	40	-nan
19	42	-nan
20	46	-nan
21	49	-nan
22	54	-nan
23	55	-nan
24	56	-nan
25	59	-nan
26	61	-nan
27	62	-nan
28	65	-nan
29	66	-nan
30	69	-nan
31	70	-nan
32	72	-nan
33	73	-nan
34	74	-nan
35	76	-nan
36	77	-nan
37	80	-nan
38	85	-nan
39	87	-nan
40	89	-nan
41	90	-nan
42	91	-nan
43	92	-nan
44	99	-nan
45	100	-nan
46	103	-nan
47	104	-nan
48	105	-nan
49	107	-nan
50	110	-nan
51	111	-nan
52	112	-nan
53	113	-nan
54	116	-nan
T.line#	From	To	From MW	To MW
1	1	2	-10000	10000
2	1	3	-10000	10000
3	2	12	-nan	-nan
4	3	5	-nan	-nan
5	3	12	-nan	-nan
6	4	5	-nan	-nan
7	4	11	-nan	-nan
8	5	6	-nan	-nan
9	8	5	-nan	-nan
10	5	11	-nan	-nan
11	6	7	-nan	-nan
12	7	12	-nan	-nan
13	8	9	-nan	-nan
14	8	30	-nan	-nan
15	9	10	-nan	-nan
16	11	12	-nan	-nan
17	11	13	-nan	-nan
18	12	14	-nan	-nan
19	12	16	-nan	-nan
20	12	117	-nan	-nan
21	13	15	-nan	-nan
22	14	15	-nan	-nan
23	15	17	-nan	-nan
24	15	19	-nan	-nan
25	15	33	-nan	-nan
26	16	17	-nan	-nan
27	17	18	-nan	-nan
28	30	17	-nan	-nan
29	17	31	-nan	-nan
30	17	113	-nan	-nan
31	18	19	-nan	-nan
32	19	20	-nan	-nan
33	19	34	-nan	-nan
34	20	21	-nan	-nan
35	21	22	-nan	-nan
36	22	23	-nan	-nan
37	23	24	-nan	-nan
38	23	25	-nan	-nan
39	23	32	-nan	-nan
40	24	70	-nan	-nan
41	24	72	-nan	-nan
42	26	25	-nan	-nan
43	25	27	-nan	-nan
44	26	30	-nan	-nan
45	27	28	-nan	-nan
46	27	32	-nan	-nan
47	27	115	-nan	-nan
48	28	29	-nan	-nan
49	29	31	-nan	-nan
50	30	38	-nan	-nan
51	31	32	-nan	-nan
52	32	113	-nan	-nan
53	32	114	-nan	-nan
54	33	37	-nan	-nan
55	34	36	-nan	-nan
56	34	37	-nan	-nan
57	34	43	-nan	-nan
58	35	36	-nan	-nan
59	35	37	-nan	-nan
60	38	37	-nan	-nan
61	37	39	-nan	-nan
62	37	40	-nan	-nan
63	38	65	-nan	-nan
64	39	40	-nan	-nan
65	40	41	-nan	-nan
66	40	42	-nan	-nan
67	41	42	-nan	-nan
68	42	49	-nan	-nan
69	42	49	-nan	-nan
70	43	44	-nan	-nan
71	44	45	-nan	-nan
72	45	46	-nan	-nan
73	45	49	-nan	-nan
74	46	47	-nan	-nan
75	46	48	-nan	-nan
76	47	49	-nan	-nan
77	47	69	-nan	-nan
78	48	49	-nan	-nan
79	49	50	-nan	-nan
80	49	51	-nan	-nan
81	49	54	-nan	-nan
82	49	54	-nan	-nan
83	49	66	-nan	-nan
84	49	66	-nan	-nan
85	49	69	-nan	-nan
86	50	57	-nan	-nan
87	51	52	-nan	-nan
88	51	58	-nan	-nan
89	52	53	-nan	-nan
90	53	54	-nan	-nan
91	54	55	-nan	-nan
92	54	56	-nan	-nan
93	54	59	-nan	-nan
94	55	56	-nan	-nan
95	55	59	-nan	-nan
96	56	57	-nan	-nan
97	56	58	-nan	-nan
98	56	59	-nan	-nan
99	56	59	-nan	-nan
100	59	60	-nan	-nan
101	59	61	-nan	-nan
102	63	59	-nan	-nan
103	60	61	-nan	-nan
104	60	62	-nan	-nan
105	61	62	-nan	-nan
106	64	61	-nan	-nan
107	62	66	-nan	-nan
108	62	67	-nan	-nan
109	63	64	-nan	-nan
110	64	65	-nan	-nan
111	65	66	-nan	-nan
112	65	68	-nan	-nan
113	66	67	-nan	-nan
114	68	69	-nan	-nan
115	68	81	-nan	-nan
116	68	116	-nan	-nan
117	69	70	-nan	-nan
118	69	75	-nan	-nan
119	69	77	-nan	-nan
120	70	71	-nan	-nan
121	70	74	-nan	-nan
122	70	75	-nan	-nan
123	71	72	-nan	-nan
124	71	73	-nan	-nan
125	74	75	-nan	-nan
126	75	77	-nan	-nan
127	75	118	-nan	-nan
128	76	77	-nan	-nan
129	76	118	-nan	-nan
130	77	78	-nan	-nan
131	77	80	-nan	-nan
132	77	80	-nan	-nan
133	77	82	-nan	-nan
134	78	79	-nan	-nan
135	79	80	-nan	-nan
136	81	80	-nan	-nan
137	80	96	-nan	-nan
138	80	97	-nan	-nan
139	80	98	-nan	-nan
140	80	99	-nan	-nan
141	82	83	-nan	-nan
142	82	96	-nan	-nan
143	83	84	-nan	-nan
144	83	85	-nan	-nan
145	84	85	-nan	-nan
146	85	86	-nan	-nan
147	85	88	-nan	-nan
148	85	89	-nan	-nan
149	86	87	-nan	-nan
150	88	89	-nan	-nan
151	89	90	-nan	-nan
152	89	90	-nan	-nan
153	89	92	-nan	-nan
154	89	92	-nan	-nan
155	90	91	-nan	-nan
156	91	92	-nan	-nan
157	92	93	-nan	-nan
158	92	94	-nan	-nan
159	92	100	-nan	-nan
160	92	102	-nan	-nan
161	93	94	-nan	-nan
162	94	95	-nan	-nan
163	94	96	-nan	-nan
164	94	100	-nan	-nan
165	95	96	-nan	-nan
166	96	97	-nan	-nan
167	98	100	-nan	-nan
168	99	100	-nan	-nan
169	100	101	-nan	-nan
170	100	103	-nan	-nan
171	100	104	-nan	-nan
172	100	106	-nan	-nan
173	101	102	-nan	-nan
174	103	104	-nan	-nan
175	103	105	-nan	-nan
176	103	110	-nan	-nan
177	104	105	-nan	-nan
178	105	106	-nan	-nan
179	105	107	-nan	-nan
180	105	108	-nan	-nan
181	106	107	-nan	-nan
182	108	109	-nan	-nan
183	109	110	-nan	-nan
184	110	111	-nan	-nan
185	110	112	-nan	-nan
186	114	115	-nan	-nan
T.line#	Contingency Scenario	From	To	From MW	To MW
1	1	1	2	0	0
1	2	1	2	-12500	12500
1	3	1	2	-12500	12500
1	4	1	2	-12500	12500
1	5	1	2	-12500	12500
2	1	1	3	-12500	12500
2	2	1	3	0	0
2	3	1	3	-12500	12500
2	4	1	3	-12500	12500
2	5	1	3	-12500	12500
3	1	2	12	-nan	-nan
3	2	2	12	-nan	-nan
3	3	2	12	0	0
3	4	2	12	-nan	-nan
3	5	2	12	-nan	-nan
4	1	3	5	-nan	-nan
4	2	3	5	-nan	-nan
4	3	3	5	-nan	-nan
4	4	3	5	0	0
4	5	3	5	-nan	-nan
5	1	3	12	-nan	-nan
5	2	3	12	-nan	-nan
5	3	3	12	-nan	-nan
5	4	3	12	-nan	-nan
5	5	3	12	0	0
6	1	4	5	-nan	-nan
6	2	4	5	-nan	-nan
6	3	4	5	-nan	-nan
6	4	4	5	-nan	-nan
6	5	4	5	-nan	-nan
7	1	4	11	-nan	-nan
7	2	4	11	-nan	-nan
7	3	4	11	-nan	-nan
7	4	4	11	-nan	-nan
7	5	4	11	-nan	-nan
8	1	5	6	-nan	-nan
8	2	5	6	-nan	-nan
8	3	5	6	-nan	-nan
8	4	5	6	-nan	-nan
8	5	5	6	-nan	-nan
9	1	8	5	-nan	-nan
9	2	8	5	-nan	-nan
9	3	8	5	-nan	-nan
9	4	8	5	-nan	-nan
9	5	8	5	-nan	-nan
10	1	5	11	-nan	-nan
10	2	5	11	-nan	-nan
10	3	5	11	-nan	-nan
10	4	5	11	-nan	-nan
10	5	5	11	-nan	-nan
11	1	6	7	-nan	-nan
11	2	6	7	-nan	-nan
11	3	6	7	-nan	-nan
11	4	6	7	-nan	-nan
11	5	6	7	-nan	-nan
12	1	7	12	-nan	-nan
12	2	7	12	-nan	-nan
12	3	7	12	-nan	-nan
12	4	7	12	-nan	-nan
12	5	7	12	-nan	-nan
13	1	8	9	-nan	-nan
13	2	8	9	-nan	-nan
13	3	8	9	-nan	-nan
13	4	8	9	-nan	-nan
13	5	8	9	-nan	-nan
14	1	8	30	-nan	-nan
14	2	8	30	-nan	-nan
14	3	8	30	-nan	-nan
14	4	8	30	-nan	-nan
14	5	8	30	-nan	-nan
15	1	9	10	-nan	-nan
15	2	9	10	-nan	-nan
15	3	9	10	-nan	-nan
15	4	9	10	-nan	-nan
15	5	9	10	-nan	-nan
16	1	11	12	-nan	-nan
16	2	11	12	-nan	-nan
16	3	11	12	-nan	-nan
16	4	11	12	-nan	-nan
16	5	11	12	-nan	-nan
17	1	11	13	-nan	-nan
17	2	11	13	-nan	-nan
17	3	11	13	-nan	-nan
17	4	11	13	-nan	-nan
17	5	11	13	-nan	-nan
18	1	12	14	-nan	-nan
18	2	12	14	-nan	-nan
18	3	12	14	-nan	-nan
18	4	12	14	-nan	-nan
18	5	12	14	-nan	-nan
19	1	12	16	-nan	-nan
19	2	12	16	-nan	-nan
19	3	12	16	-nan	-nan
19	4	12	16	-nan	-nan
19	5	12	16	-nan	-nan
20	1	12	117	-nan	-nan
20	2	12	117	-nan	-nan
20	3	12	117	-nan	-nan
20	4	12	117	-nan	-nan
20	5	12	117	-nan	-nan
21	1	13	15	-nan	-nan
21	2	13	15	-nan	-nan
21	3	13	15	-nan	-nan
21	4	13	15	-nan	-nan
21	5	13	15	-nan	-nan
22	1	14	15	-nan	-nan
22	2	14	15	-nan	-nan
22	3	14	15	-nan	-nan
22	4	14	15	-nan	-nan
22	5	14	15	-nan	-nan
23	1	15	17	-nan	-nan
23	2	15	17	-nan	-nan
23	3	15	17	-nan	-nan
23	4	15	17	-nan	-nan
23	5	15	17	-nan	-nan
24	1	15	19	-nan	-nan
24	2	15	19	-nan	-nan
24	3	15	19	-nan	-nan
24	4	15	19	-nan	-nan
24	5	15	19	-nan	-nan
25	1	15	33	-nan	-nan
25	2	15	33	-nan	-nan
25	3	15	33	-nan	-nan
25	4	15	33	-nan	-nan
25	5	15	33	-nan	-nan
26	1	16	17	-nan	-nan
26	2	16	17	-nan	-nan
26	3	16	17	-nan	-nan
26	4	16	17	-nan	-nan
26	5	16	17	-nan	-nan
27	1	17	18	-nan	-nan
27	2	17	18	-nan	-nan
27	3	17	18	-nan	-nan
27	4	17	18	-nan	-nan
27	5	17	18	-nan	-nan
28	1	30	17	-nan	-nan
28	2	30	17	-nan	-nan
28	3	30	17	-nan	-nan
28	4	30	17	-nan	-nan
28	5	30	17	-nan	-nan
29	1	17	31	-nan	-nan
29	2	17	31	-nan	-nan
29	3	17	31	-nan	-nan
29	4	17	31	-nan	-nan
29	5	17	31	-nan	-nan
30	1	17	113	-nan	-nan
30	2	17	113	-nan	-nan
30	3	17	113	-nan	-nan
30	4	17	113	-nan	-nan
30	5	17	113	-nan	-nan
31	1	18	19	-nan	-nan
31	2	18	19	-nan	-nan
31	3	18	19	-nan	-nan
31	4	18	19	-nan	-nan
31	5	18	19	-nan	-nan
32	1	19	20	-nan	-nan
32	2	19	20	-nan	-nan
32	3	19	20	-nan	-nan
32	4	19	20	-nan	-nan
32	5	19	20	-nan	-nan
33	1	19	34	-nan	-nan
33	2	19	34	-nan	-nan
33	3	19	34	-nan	-nan
33	4	19	34	-nan	-nan
33	5	19	34	-nan	-nan
34	1	20	21	-nan	-nan
34	2	20	21	-nan	-nan
34	3	20	21	-nan	-nan
34	4	20	21	-nan	-nan
34	5	20	21	-nan	-nan
35	1	21	22	-nan	-nan
35	2	21	22	-nan	-nan
35	3	21	22	-nan	-nan
35	4	21	22	-nan	-nan
35	5	21	22	-nan	-nan
36	1	22	23	-nan	-nan
36	2	22	23	-nan	-nan
36	3	22	23	-nan	-nan
36	4	22	23	-nan	-nan
36	5	22	23	-nan	-nan
37	1	23	24	-nan	-nan
37	2	23	24	-nan	-nan
37	3	23	24	-nan	-nan
37	4	23	24	-nan	-nan
37	5	23	24	-nan	-nan
38	1	23	25	-nan	-nan
38	2	23	25	-nan	-nan
38	3	23	25	-nan	-nan
38	4	23	25	-nan	-nan
38	5	23	25	-nan	-nan
39	1	23	32	-nan	-nan
39	2	23	32	-nan	-nan
39	3	23	32	-nan	-nan
39	4	23	32	-nan	-nan
39	5	23	32	-nan	-nan
40	1	24	70	-nan	-nan
40	2	24	70	-nan	-nan
40	3	24	70	-nan	-nan
40	4	24	70	-nan	-nan
40	5	24	70	-nan	-nan
41	1	24	72	-nan	-nan
41	2	24	72	-nan	-nan
41	3	24	72	-nan	-nan
41	4	24	72	-nan	-nan
41	5	24	72	-nan	-nan
42	1	26	25	-nan	-nan
42	2	26	25	-nan	-nan
42	3	26	25	-nan	-nan
